hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,data_status
BR1001,Black Bear Harvest Objective Units,Black Bear,Either Sex,Any Legal Weapon,Harvest Objective,,,,,"Harvest-objective permits: Biologists set harvest objectives/quotas for certain bear units. When the objective is met, the unit closes to bear hunting for the rest of the season. A harvest-objective permit allows an eligible hunter to use any legal weapon to harvest one black bear on any open harvest-objective unit until the season ends or that unit objective is met. The permit is available to residents and nonresidents beginning March 10, 2026 at 8 a.m. MDT through wildlife.utah.gov, license agents, or DWR offices. A harvest-objective permit purchased after the season opens is not valid until three days from purchase; the last day to purchase a 2026 harvest-objective permit is Nov. 5, 2026. Hunters may not use bait with a harvest-objective permit. Fall harvest-objective hunts may include additional method restrictions such as no dogs/no bait or no bait, as listed by unit. Harvest-objective permits are available to eligible hunters except those who drew a bear limited-entry permit, not including pursuit or restricted pursuit permits. Hunters may only obtain one permit to harvest a bear during the 2026 season. Before every hunting trip, hunters must verify the unit is still open at wildlife.utah.gov/bearharvest. DWR updates closures daily by noon, effective the following day 30 minutes before official sunrise. After a harvest-objective unit closes, the permit may still be used on other open harvest-objective units. Multiseason limited-entry permit holders may hunt open harvest-objective seasons on the unit they draw without obtaining an additional harvest-objective permit; harvest-objective closures still apply. Source: 2026 Bear Cougar Furbearer Guidebook, Utah Admin. Rule R657-33-29 through R657-33-31. Harvest-objective unit detail: Beaver: 2026 objective 5 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Book Cliffs, Bitter Creek/South: 2026 objective 20 bears; Season: Aug 15 - Oct 1, 2026; no dogs/no bait | Boulder/Kaiparowits: 2026 objective 22 bears; Season: July 5-31, 2026 & Sept 1-Oct 25, 2026; no dogs/no bait | Cache/Ogden: 2026 objective 10 bears; Season: July 5-31, 2026 & Sept 1-Oct 25, 2026; no dogs/no bait | Chalk Creek/East Canyon/Morgan-South Rich: 2026 objective 20 bears; Season: March 28-May 25, 2026; no bait allowed | Chalk Creek/East Canyon/Morgan-South Rich: 2026 objective 20 bears; Season: Aug 1-31, 2026 & Nov 2-8, 2026; no bait | Chalk Creek/East Canyon/Morgan-South Rich: 2026 objective 20 bears; Season: July 5-31, 2026 & Sept 1 - Oct 25, 2026; no dogs/no bait | Diamond Mtn/Vernal/Bonanza: 2026 objective 9 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Fillmore, Pahvant: 2026 objective 1 bear; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Fishlake/Thousand Lakes: 2026 objective 5 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Kamas/North Slope, Summit: 2026 objective 5 bears; Season: Jul 5-31, 2026 & Sept 1-Oct 25, 2026; no dogs/no bait | La Sal Mtns: 2026 objective 12 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Manti, North: 2026 objective 15 bears; Season: Jul 5-31, 2026 & Sept 1 - Oct 25, 2026; no dogs/no bait | Manti, South/San Rafael, North: 2026 objective 25 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Mt Dutton: 2026 objective 2 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Nebo: 2026 objective 10 bears; Season: Jul 5-31, 2026 & Sept 1 - Oct 25, 2026; no dogs/no bait | Nine Mile: 2026 objective 25 bears; Season: March 28 - May 25, 2026; no bait allowed | Nine Mile: 2026 objective 10 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | North Slope, Three Corners/West Daggett: 2026 objective 5 bears; Season: March 28 - May 25, 2026; no bait allowed | North Slope, Three Corners/West Daggett: 2026 objective 3 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Panguitch Lake/Zion: 2026 objective 3 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | San Juan: 2026 objective 12 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Wasatch Mtns, Avintaquin/Currant Creek: 2026 objective 15 bears; Season: March 28 - May 25, 2026; no bait allowed | Wasatch Mtns, Avintaquin/Currant Creek: 2026 objective 10 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait | Wasatch Mtns, West-Central: 2026 objective 20 bears; Season: July 5-31, 2026 & Sept 1 - Oct 25, 2026; no dogs/no bait | Yellowstone: 2026 objective 10 bears; Season: March 28 - May 25, 2026; no bait allowed | Yellowstone: 2026 objective 10 bears; Season: Sept 1 - Oct 25, 2026; no dogs/no bait Full BR1001 area-specific information is indexed in 2026_black_bear_harvest_objective_BR1001_area_info_index.csv and sourced from BR1001 Print bear harvest objective.pdf.",DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1008,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",26,2,28,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1009,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1010,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1011,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1012,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1013,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1015,Book Cliffs,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1016,San Juan,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
BR1017,La Sal,Black Bear,Either Sex,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,,DATABASE_ONLY_NEEDS_CANONICAL_REVIEW
