"hunt_code","boundary_id","hunt_name","species","hunt_class","hunt_type","draw_family","weapon","sex_type","youth_flag","eligibility_class","season","permits_2025_res","permits_2025_nr","permits_2025_total","avg_points_2025","hunters_2025","harvest_2025","success_percent_2025","avg_days_2025","satisfaction_2025","access_type","permits_2026_res","permits_2026_nr","permits_2026_total","permit_status","permit_allocation_type","permit_source_authority","permit_note","has_harvest","has_bonus_draw","has_antlerless_draw","source_file","permit_overlay_source","source_authority","data_status","permits_2025_draw_res","permits_2025_draw_nr","draw_2025_bg_pdf_page","draw_2025_bg_report_page","draw_2025_type","draw_2025_species_section","permits_2025_draw_total","huntCode","code","title","unitName","unitCode","boundaryId","boundary_id_numeric","boundary_token","resolvedBoundaryIds"
"BI6527","615","Nine Mile","Bison","General Season","General Season","NONE","Any Legal Weapon","Hunters Choice","False","STANDARD","Aug 1, 2025 - Jan 31, 2026","","","","","15.0","0.0","0.0","9.0","3.6","Public","","","","NO_QUOTA_PUBLISHED","NO_QUOTA_PUBLISHED","Utah DWR Hunt Planner","Utah DWR Hunt Planner source confirms hunt in 2026_bison_either-sex.xlsx; no quota or permit total published in uploaded source.","True","False","False","bison bull.csv","2026_bison_either-sex.xlsx","official_uploaded_source","SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED","","","","","","","","BI6527","BI6527","Nine Mile","Nine Mile","615","615","615","615","615"
"BI6538","615","Nine Mile, Private Lands Only","Bison","General Season","General Season","NONE","Any Legal Weapon","Hunters Choice","False","STANDARD","Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey","","","","","","","","","","Private","","","","NO_QUOTA_PUBLISHED","NO_QUOTA_PUBLISHED","Utah DWR Hunt Planner","Utah DWR Hunt Planner source confirms hunt in 2026_bison_either-sex.xlsx; no quota or permit total published in uploaded source.","","","","bison bull.csv","2026_bison_either-sex.xlsx","official_uploaded_source","SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED","","","","","","","","BI6538","BI6538","Nine Mile, Private Lands Only","Nine Mile, Private Lands Only","615","615","615","615","615"
"BI6505","94","Henry Mtns","Bison","Antlerless","Once-in-a-lifetime","BONUS","Any Legal Weapon","Cow Only","False","OIL","Dec 9 2026 - Dec 20 2026","25.0","4.0","29.0","","28.0","22.0","78.6","4.0","4.0","Public","8","3","11","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.","True","False","False","bison  cow.xlsx","2026_bison_cow_only.xlsx","official_uploaded_source","COMPLETE","25","3","538","4","Bonus Point Draw Results","","28","BI6505","BI6505","Henry Mtns","Henry Mtns","94","94","94","94","94"
"BI6506","94","Henry Mtns","Bison","Antlerless","Once-in-a-lifetime","BONUS","Any Legal Weapon","Cow Only","False","OIL","Dec 23, 2026 - Jan 3, 2027","30.0","0.0","30.0","","29.0","27.0","93.1","5.5","4.3","Public","11","0","11","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.","True","False","False","bison  cow.xlsx","2026_bison_cow_only.xlsx","official_uploaded_source","COMPLETE","30","0","539","5","Bonus Point Draw Results","","30","BI6506","BI6506","Henry Mtns","Henry Mtns","94","94","94","94","94"
"BI6529","889","Book Cliffs, Little Creek/South","Bison","Antlerless","Once-in-a-lifetime","BONUS","Any Legal Weapon","Cow Only","False","OIL","Oct 17 2026 - Oct 27 2026","8.0","0.0","8.0","","5.0","4.0","80.0","1.8","4.8","Public","8","0","8","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.","True","False","False","bison  cow.xlsx","2026_bison_cow_only.xlsx","official_uploaded_source","COMPLETE","8","0","543","9","Bonus Point Draw Results","","8","BI6529","BI6529","Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South","889","889","889","889","889"
"BI6536","667","Book Cliffs, Bitter Creek","Bison","Antlerless","Once-in-a-lifetime","BONUS","Any Legal Weapon","Cow Only","False","OIL","Nov 14 2026 - Nov 29 2026","3.0","0.0","3.0","","3.0","2.0","66.7","4.3","4.7","Public","15","0","15","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.","True","False","False","bison  cow.xlsx","2026_bison_cow_only.xlsx","official_uploaded_source","COMPLETE","2","0","548","14","Bonus Point Draw Results","","2","BI6536","BI6536","Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek","667","667","667","667","667"
"BI6539","94","Henry Mtns","Bison","Antlerless","Once-in-a-lifetime","BONUS","Any Legal Weapon","Cow Only","False","OIL","Jan 6 - 17, 2027","","","","","","","","","","Public","11","0","11","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.","","","","bison  cow.xlsx","2026_bison_cow_only.xlsx","official_uploaded_source","COMPLETE","","","","","","","","BI6539","BI6539","Henry Mtns","Henry Mtns","94","94","94","94","94"
"BI6500","1","Antelope Island","Bison","Once-in-a-lifetime","Once-in-a-lifetime","BONUS","Any Legal Weapon","Hunters Choice","False","OIL","Dec 07 2026 - Dec 09 2026","2.0","0.0","2.0","","2.0","2.0","100.0","1.0","5.0","Public","2","0","2","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.","True","False","False","bison bull.xlsx","2026_bison_either-sex.xlsx","official_uploaded_source","COMPLETE","2","0","535","1","Bonus Point Draw Results","","2","BI6500","BI6500","Antelope Island","Antelope Island","1","1","1","1","1"
"BI6503","94","Henry Mtns","Bison","Once-in-a-lifetime","Once-in-a-lifetime","BONUS","Any Legal Weapon","Hunters Choice","False","OIL","Oct 28 2026 - Nov 8 2026","5.0","2.0","7.0","","15.0","14.0","93.3","2.4","4.6","Public","4","2","6","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.","True","False","False","bison bull.xlsx","2026_bison_either-sex.xlsx","official_uploaded_source","COMPLETE","4","2","536","2","Bonus Point Draw Results","","6","BI6503","BI6503","Henry Mtns","Henry Mtns","94","94","94","94","94"
"BI6504","94","Henry Mtns","Bison","Once-in-a-lifetime","Once-in-a-lifetime","BONUS","Any Legal Weapon","Hunters Choice","False","OIL","Nov 11 2026 - Nov 22 2026","5.0","2.0","7.0","","13.0","13.0","100.0","4.5","4.2","Public","5","2","7","FULL_SPLIT","DRAW_RES_NR_SPLIT","Utah DWR Hunt Planner","2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.","True","False","False","bison bull.xlsx","2026_bison_either-sex.xlsx","official_uploaded_source","COMPLETE","5","2","537","3","Bonus Point Draw Results","","7","BI6504","BI6504","Henry Mtns","Henry Mtns","94","94","94","94","94"
