hunt_code,species,hunt_name,active_2026,harvest_quality_index,demand_pressure_signal,demand_pressure_category,point_creep_quality_adjustment,harvest_success_recent,harvest_success_3yr_avg,harvest_success_delta_1yr,harvest_success_trend_direction,hunter_satisfaction_recent,hunter_satisfaction_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,average_age_recent,average_age_3yr_avg,percent_female_recent,percent_adult_male_recent,population_signal_recent,pursuit_pressure_recent,harvest_feature_source_years,harvest_feature_match_method,harvest_feature_data_quality_grade,harvest_feature_reason_codes
BI6500,Bison,Antelope Island,YES,98.889,73.007,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,5,5,1,1,2,2,2,2,,,,,,,2022|2023|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB0009,Deer,Antelope Island - Conservation/Expo,YES,92.444,65.268,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,4,4.5,2,1.333,1,1,1,1,,,,,,,2022|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1002,Deer,Antelope Island Premium,YES,98.889,74.183,HIGH_DEMAND_SIGNAL,0.1,100,100,0,FLAT,5,5,1,1.333,1,1,1,1,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
DB1121,Deer,Antelope Island Management,YES,86.667,61.373,MODERATE_DEMAND_SIGNAL,0,100,100,0,FLAT,5,5,30.3,24.1,1921,1451.667,4060,3327.667,,,,,,,2021|2023|2025,SPECIES_FAMILY_HISTORY,D,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|FALLBACK_BY_HUNT_NAME_SPECIES|FALLBACK_BY_SPECIES|FALLBACK_BY_UNIT_SPECIES|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
RS1000,Rocky Mountain Bighorn Sheep,Antelope Island Conservation,YES,97.436,97.436,HIGH_DEMAND_SIGNAL,0.25,100,100,,UNKNOWN,5,5,2,2,1,1,1,1,,,,,,,2025,EXACT_HUNT_CODE_HISTORY,C,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
RS6700,Rocky Mountain Bighorn Sheep,Antelope Island,YES,98.718,98.718,HIGH_DEMAND_SIGNAL,0.25,100,100,,UNKNOWN,5,5,1,1,1,1,1,1,,,,,,,2025,EXACT_HUNT_CODE_HISTORY,C,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY
DA1041,Deer,"Nine Mile, Green River Valley",YES,61.044,80.962,HIGH_DEMAND_SIGNAL,0.25,60,25.367,51,INCREASING,3.8,2.65,2.3,6.3,6,3.333,10,8.667,,,,,,,2023|2024|2025,EXACT_HUNT_CODE_HISTORY,A,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR1008,Black Bear,Book Cliffs,YES,58,67,HIGH_DEMAND_SIGNAL,0.1,50,43,7,INCREASING,,,,,12,6.667,,,,,0,75,,,2022|2023|2024,UNIT_SPECIES_HISTORY,C,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|FALLBACK_BY_HUNT_NAME_SPECIES|FALLBACK_BY_UNIT_SPECIES|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR1011,Black Bear,Book Cliffs,YES,58,67,HIGH_DEMAND_SIGNAL,0.1,50,43,7,INCREASING,,,,,12,6.667,,,,,0,75,,,2022|2023|2024,UNIT_SPECIES_HISTORY,C,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|FALLBACK_BY_HUNT_NAME_SPECIES|FALLBACK_BY_UNIT_SPECIES|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|QUALITY_INDEX_COMPONENT_REWEIGHTED
BR1015,Black Bear,Book Cliffs,YES,58,67,HIGH_DEMAND_SIGNAL,0.1,50,43,7,INCREASING,,,,,12,6.667,,,,,0,75,,,2022|2023|2024,UNIT_SPECIES_HISTORY,C,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|FALLBACK_BY_HUNT_NAME_SPECIES|FALLBACK_BY_UNIT_SPECIES|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|NO_AVERAGE_DAYS|NO_HUNTERS_AFIELD|NO_HUNTER_SATISFACTION|QUALITY_INDEX_COMPONENT_REWEIGHTED
