reported_hunt_year,model_target_year,source_file,source_file_sha256,source_page,source_class,data_granularity,report_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,percent_success,average_days,hunter_satisfaction,parse_status,input_family,male_harvest,female_harvest,harvest_objective,average_age,percent_female,percent_5yr_plus,date_inspected,date_harvested,location_of_kill,days_hunted,wound,horn_length_left,horn_length_right,base_circumference_left,base_circumference_right,age_of_sheep,page_title,harvest_quality_year,quality_feature_status,trend_feature_eligible,trend_feature_note,quota_use_status,draw_probability_use_status,do_not_use_for_permit_quota,do_not_use_for_p_draw_directly,raw_record,do_not_use_directly_for_p_draw,average_harvest_age_2023,average_harvest_age_3yr_2023,percent_mature_or_5_plus_2023,percent_mature_or_5_plus_3yr_2023,age_data_available_2023,age_source_package_2023,age_mapping_status_2023,age_match_confidence_2023,age_candidate_count_2023
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1001,"Box Elder, West Bear River",Antlerless Deer,"Archery, Muzzleloader, Shotgun",30.0,24.0,6.0,26.7,5.2,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1002,"Box Elder, West Bear River",Antlerless Deer,"Archery, Muzzleloader, Shotgun",30.0,16.0,8.0,46.2,6.0,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1003,"Monroe/Plateau, Sevier Valley",Antlerless Deer,"Archery, Muzzleloader, Shotgun",15.0,12.0,3.0,22.2,5.0,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1009,"Pine Valley, Enterprise",Antlerless Deer,Any Legal Weapon,24.0,20.0,20.0,100.0,1.7,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1018,"Pine Valley, New Harmony",Antlerless Deer,"Archery, Muzzleloader, Shotgun",18.0,8.0,6.0,62.5,2.9,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1027,"East Canyon, Davis-North Salt Lake",Antlerless Deer,Any Legal Weapon,40.0,34.0,19.0,55.6,3.1,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1030,"Nine Mile, Price River Valley",Antlerless Deer,Archery,25.0,21.0,8.0,40.0,7.0,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1031,"Oquirrh-Stansbury, Settlement Cyn",Antlerless Deer,Archery,25.0,21.0,9.0,41.2,3.9,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1033,"San Juan, Monticello",Antlerless Deer,Archery,5.0,3.0,3.0,100.0,3.0,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
2023,2024,A96251BE__2023_antlerless_hr.pdf,d36241a87154bc84a86863858fb24380145a288c8a654f6e22e626bbd4dbd71f,1,harvest_results,hunt_code_aggregate,antlerless,Antlerless Deer,DA1041,"Nine Mile, Green River Valley",Antlerless Deer,Any Legal Weapon,24.0,16.0,1.0,7.1,2.6,,PARSED,antlerless,,,,,,,,,,,,,,,,,,,,True,,,,True,,,True,,,,,false,,,,
