hunt_code,reported_hunt_year,model_target_year,species,hunt_name,source_families,records_count,permits_sum,hunters_afield_sum,harvest_sum,success_percent_mean,average_days_mean,hunter_satisfaction_mean,male_harvest_sum,female_harvest_sum,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
BI0001,2022,2023,Once-in-a-Lifetime Bison,Antelope Island,le_oial_all,1,5.0,5.0,5.0,100.0,1.0,4.8,,,true,true,true
BI1000,2022,2023,Once-in-a-Lifetime Bison,Bison - Statewide Permit,le_oial_all,1,2.0,,,,,,,,true,true,true
BI6500,2022,2023,Once-in-a-Lifetime Bison,Antelope Island,le_oial_all,1,2.0,2.0,2.0,100.0,1.0,5.0,,,true,true,true
BI6503,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,12.0,12.0,11.0,90.9,3.3,4.1,,,true,true,true
BI6504,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,14.0,14.0,10.0,71.4,4.5,3.6,,,true,true,true
BI6505,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,17.0,14.0,9.0,66.7,4.5,3.7,,,true,true,true
BI6506,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,14.0,14.0,6.0,41.7,7.4,2.6,,,true,true,true
BI6509,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,4.0,4.0,4.0,100.0,7.0,5.0,,,true,true,true
BI6516,2022,2023,Once-in-a-Lifetime Bison,Henry Mtns,le_oial_all,1,12.0,12.0,10.0,81.8,3.7,4.2,,,true,true,true
BI6527,2022,2023,Once-in-a-Lifetime Bison,Nine Mile,le_oial_all,1,37.0,30.0,30.0,100.0,6.6,4.4,,,true,true,true
BI6528,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Little Creek/South",le_oial_all,1,8.0,7.0,6.0,85.7,3.0,4.9,,,true,true,true
BI6529,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Little Creek/South",le_oial_all,1,21.0,20.0,13.0,64.7,3.7,3.2,,,true,true,true
BI6530,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Little Creek/South",le_oial_all,1,16.0,16.0,14.0,85.7,2.5,4.4,,,true,true,true
BI6531,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Little Creek/South",le_oial_all,1,21.0,21.0,18.0,84.2,2.7,3.7,,,true,true,true
BI6532,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Bitter Creek",le_oial_all,1,5.0,5.0,4.0,80.0,14.8,3.8,,,true,true,true
BI6533,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Little Creek/South",le_oial_all,1,18.0,18.0,12.0,64.7,3.8,3.1,,,true,true,true
BI6534,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Bitter Creek",le_oial_all,1,5.0,5.0,4.0,80.0,5.0,3.0,,,true,true,true
BI6535,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Bitter Creek",le_oial_all,1,5.0,5.0,4.0,80.0,7.8,3.6,,,true,true,true
BI6536,2022,2023,Once-in-a-Lifetime Bison,"Book Cliffs, Bitter Creek",le_oial_all,1,5.0,4.0,2.0,50.0,7.5,2.8,,,true,true,true
