reported_hunt_year,species,measurement_record_no,location_of_kill,normalized_location,matched_unit_name,matched_hunt_name,matched_species,possible_hunt_codes,selected_hunt_code,match_status,match_confidence,match_method,notes
2023,Bighorn Sheep,1,Middle Warm Creek,middle warm creek,Henry Mtns,DS6600 Henry Mtns,Desert Bighorn Sheep,DS6600,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Henry Mountains area/location; review before selected-code promotion.
2023,Bighorn Sheep,2,Paria,paria,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,3,trachyte,trachyte,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,4,Alstrom point,alstrom point,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,5,,nan,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,6,Sam's Basin,sam s basin,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,7,Cow Calf Pine,cow calf pine,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,8,Paria,paria,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,9,Muddy Creek,muddy creek,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,10,TRAIL CANYON,trail canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,11,Pasture Point,pasture point,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,12,Wire grass trail,wire grass trail,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,13,Lone Rock,lone rock,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,14,Little alstrom point,little alstrom point,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,15,Last Chance,last chance,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,16,Last Chance,last chance,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,17,Driftwood Canyon,driftwood canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,18,Last chance,last chance,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,19,Cotton Wood Wash,cotton wood wash,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.
2023,Bighorn Sheep,20,ESCALANTE RIVER,escalante river,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,21,Willow Creek,willow creek,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
2023,Bighorn Sheep,22,Horse Canyon,horse canyon,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West","DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,DS6601|DS6602|DS6603,,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.
