table,rows,unique_hunt_codes,unique_units,min_year,max_year
black_bear_statewide_history_1967_2000,34,0,0,1967,2000
black_bear_statewide_harvest_mortality_2001_2024,24,0,0,2001,2024
black_bear_unit_harvest_2024,24,0,24,2024,2024
black_bear_hunt_code_harvest_2024,87,87,25,2024,2024
black_bear_harvest_objective_2024,21,0,17,2024,2024
black_bear_statewide_pursuit_2002_2024,23,0,0,2002,2024
black_bear_restricted_pursuit_annual,20,0,0,2010,2024
black_bear_pursuit_by_unit_2024,46,0,25,2024,2024
black_bear_restricted_pursuit_by_unit_season_2024,9,0,9,2024,2024
black_bear_unit_mortality_history_1990_2024,665,0,27,1990,2024
