reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6000,Cache,2,16,,16.0,16,,,,7.4,100.0,,5,16|16|16|7.4|100.0,,2 MB6000 Cache 16 16 16 7.4 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,16,16,16.0,7.4,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6001,Chalk Creek,6,3,,3.0,3,,,,4.0,100.0,,5,3|3|3|4.0|100.0,,6 MB6001 Chalk Creek 3 3 3 4.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,4.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6009,Diamond Mtn/Vernal,9BC,2,,2.0,2,,,,7.0,100.0,,5,2|2|2|7.0|100.0,,9BC MB6009 Diamond Mtn/Vernal 2 2 2 7.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,7.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6002,East Canyon,5,4,,4.0,4,,,,12.3,100.0,,5,4|4|4|12.3|100.0,,5 MB6002 East Canyon 4 4 4 12.3 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,4,4.0,12.3,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6003,"East Canyon, Morgan–Summit",5,3,,3.0,2,,,,22.3,66.7,,5,2|3|3|22.3|66.7,,"5 MB6003 East Canyon, Morgan–Summit 2 3 3 22.3 66.7",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,3,3.0,22.3,66.7,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6004,Kamas,7,5,,5.0,5,,,,10.3,100.0,,5,5|5|5|10.3|100.0,,7 MB6004 Kamas 5 5 5 10.3 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,5,5,5.0,10.3,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6005,Morgan–South Rich,4,5,,5.0,4,,,,9.8,80.0,,5,4|5|5|9.8|80.0,,4 MB6005 Morgan–South Rich 4 5 5 9.8 80.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,5,5.0,9.8,80.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6006,"North Slope, Summit",8,27,,27.0,27,,,,6.1,100.0,,5,27|27|27|6.1|100.0,,"8 MB6006 North Slope, Summit 27 27 27 6.1 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,27,27,27.0,6.1,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,number harvest afield hunted rate (%),Moose,MB6007,"North Slope, Three Corners/West Daggett",8,9,,9.0,9,,,,3.2,100.0,,5,9|9|9|3.2|100.0,,"8 MB6007 North Slope, Three Corners/West Daggett 9 9 9 3.2 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,9,9.0,3.2,100.0,,,,,,
2024,2025,24_bg_report.pdf,150,Big Game,,Moose,MB6008,Ogden,3,9,,9.0,9,,,,9.4,100.0,,5,9|9|9|9.4|100.0,,3 MB6008 Ogden 9 9 9 9.4 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,9,9.0,9.4,100.0,,,,,,
