reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1500,Beaver,22,340,,309.0,75,,,,8.2,24.3,,5,75|340|309|8.2|24.3,,22 DB1500 Beaver 75 340 309 8.2 24.3,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,75,340,309.0,8.2,24.3,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1518,Boulder/Kaiparowits,25C/26,355,,338.0,90,,,,7.0,26.5,,5,90|355|338|7.0|26.5,,25C/26 DB1518 Boulder/Kaiparowits 90 355 338 7.0 26.5,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,90,355,338.0,7.0,26.5,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1501,Box Elder,1,905,,714.0,185,,,,6.6,25.9,,5,185|905|714|6.6|25.9,,1 DB1501 Box Elder 185 905 714 6.6 25.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,185,905,714.0,6.6,25.9,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1502,Cache,2,732,,623.0,75,,,,7.5,12.0,,5,75|732|623|7.5|12.0,,2 DB1502 Cache 75 732 623 7.5 12.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,75,732,623.0,7.5,12.0,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1600,Chalk Creek,6,383,,309.0,45,,,,7.3,14.6,,5,45|383|309|7.3|14.6,,6 DB1600 Chalk Creek 45 383 309 7.3 14.6,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,45,383,309.0,7.3,14.6,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1604,East Canyon,5,320,,238.0,50,,,,6.6,21.1,,5,50|320|238|6.6|21.1,,5 DB1604 East Canyon 50 320 238 6.6 21.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,50,320,238.0,6.6,21.1,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1506,Fillmore,21,376,,347.0,76,,,,7.0,21.9,,5,76|376|347|7.0|21.9,,21 DB1506 Fillmore 76 376 347 7.0 21.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,76,376,347.0,7.0,21.9,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1519,Fishlake,25A,222,,198.0,46,,,,7.8,23.1,,5,46|222|198|7.8|23.1,,25A DB1519 Fishlake 46 222 198 7.8 23.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,46,222,198.0,7.8,23.1,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,number harvest afield hunted rate (%),Mule Deer,DB1508,Kamas,7,226,,182.0,14,,,,7.2,7.4,,5,14|226|182|7.2|7.4,,7 DB1508 Kamas 14 226 182 7.2 7.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,14,226,182.0,7.2,7.4,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1509,"La Sal, La Sal Mtns",13A,251,,216.0,74,,,,6.7,34.4,,5,74|251|216|6.7|34.4,,"13A DB1509 La Sal, La Sal Mtns 74 251 216 6.7 34.4",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,74,251,216.0,6.7,34.4,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1503,Manti/San Rafael,16B/12,1500,,1305.0,256,,,,7.1,19.6,,5,256|1500|1305|7.1|19.6,,16B/12 DB1503 Manti/San Rafael 256 1500 1305 7.1 19.6,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,256,1500,1305.0,7.1,19.6,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1510,Monroe,23,180,,158.0,42,,,,7.1,26.4,,5,42|180|158|7.1|26.4,,23 DB1510 Monroe 42 180 158 7.1 26.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,42,180,158.0,7.1,26.4,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1608,Morgan-South Rich,4,274,,203.0,26,,,,7.6,12.9,,5,26|274|203|7.6|12.9,,4 DB1608 Morgan-South Rich 26 274 203 7.6 12.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,26,274,203.0,7.6,12.9,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1511,Mt Dutton,24,67,,63.0,14,,,,7.9,22.2,,5,14|67|63|7.9|22.2,,24 DB1511 Mt Dutton 14 67 63 7.9 22.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,14,67,63.0,7.9,22.2,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1504,Nebo,16A,807,,711.0,89,,,,8.1,12.6,,5,89|807|711|8.1|12.6,,16A DB1504 Nebo 89 807 711 8.1 12.6,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,89,807,711.0,8.1,12.6,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1512,Nine Mile,11,230,,198.0,56,,,,6.7,28.1,,5,56|230|198|6.7|28.1,,11 DB1512 Nine Mile 56 230 198 6.7 28.1,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,56,230,198.0,6.7,28.1,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1513,North Slope,8,457,,384.0,49,,,,7.9,12.9,,5,49|457|384|7.9|12.9,,8 DB1513 North Slope 49 457 384 7.9 12.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,49,457,384.0,7.9,12.9,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1514,Ogden,3,346,,271.0,57,,,,7.4,21.2,,5,57|346|271|7.4|21.2,,3 DB1514 Ogden 57 346 271 7.4 21.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,57,346,271.0,7.4,21.2,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1515,Oquirrh-Stansbury,18,459,,407.0,65,,,,7.3,16.0,,5,65|459|407|7.3|16.0,,18 DB1515 Oquirrh-Stansbury 65 459 407 7.3 16.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,65,459,407.0,7.3,16.0,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1516,Panguitch Lake,28,390,,361.0,121,,,,7.8,33.4,,5,121|390|361|7.8|33.4,,28 DB1516 Panguitch Lake 121 390 361 7.8 33.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,121,390,361.0,7.8,33.4,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1517,Pine Valley,30,624,,553.0,134,,,,8.1,24.2,,5,134|624|553|8.1|24.2,,30 DB1517 Pine Valley 134 624 553 8.1 24.2,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,134,624,553.0,8.1,24.2,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1521,"San Juan, Abajo Mtns",14A,419,,362.0,108,,,,6.8,29.7,,5,108|419|362|6.8|29.7,,"14A DB1521 San Juan, Abajo Mtns 108 419 362 6.8 29.7",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,108,419,362.0,6.8,29.7,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1524,Southwest Desert,20,83,,76.0,19,,,,11.0,24.6,,5,19|83|76|11.0|24.6,,20 DB1524 Southwest Desert 19 83 76 11.0 24.6,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,19,83,76.0,11.0,24.6,,,,,,
2024,2025,24_bg_report.pdf,9,Big Game,,Mule Deer,DB1520,Thousand Lakes,25B,57,,48.0,9,,,,7.6,17.9,,5,9|57|48|7.6|17.9,,25B DB1520 Thousand Lakes 9 57 48 7.6 17.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,9,57,48.0,7.6,17.9,,,,,,
