reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5000,Beaver,22,10,,9.0,7,,,,6.3,77.8,,5,7|10|9|6.3|77.8,,22 PB5000 Beaver 7 10 9 6.3 77.8,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,7,10,9.0,6.3,77.8,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5001,"Book Cliffs, Bitter Creek",10,13,,12.0,11,,,,1.4,91.7,,5,11|13|12|1.4|91.7,,"10 PB5001 Book Cliffs, Bitter Creek 11 13 12 1.4 91.7",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,11,13,12.0,1.4,91.7,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5002,"Book Cliffs, South",10,8,,8.0,4,,,,4.0,50.0,,5,4|8|8|4.0|50.0,,"10 PB5002 Book Cliffs, South 4 8 8 4.0 50.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,8,8.0,4.0,50.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5003,"Box Elder, Promontory",1,4,,4.0,0,,,,4.0,0.0,,5,0|4|4|4.0|0.0,,"1 PB5003 Box Elder, Promontory 0 4 4 4.0 0.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,0,4,4.0,4.0,0.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5004,"Box Elder, Puddle Valley",1,4,,4.0,4,,,,2.0,100.0,,5,4|4|4|2.0|100.0,,"1 PB5004 Box Elder, Puddle Valley 4 4 4 2.0 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,4,4,4.0,2.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5005,"Box Elder, Snowville",1,9,,7.0,3,,,,5.1,42.9,,5,3|9|7|5.1|42.9,,"1 PB5005 Box Elder, Snowville 3 9 7 5.1 42.9",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,9,7.0,5.1,42.9,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5006,"Box Elder, West",1,9,,8.0,6,,,,3.9,71.4,,5,6|9|8|3.9|71.4,,"1 PB5006 Box Elder, West 6 9 8 3.9 71.4",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,6,9,8.0,3.9,71.4,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5074,"Cache, Rich",2,3,,3.0,0,,,,8.0,0.0,,5,0|3|3|8.0|0.0,,"2 PB5074 Cache, Rich 0 3 3 8.0 0.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,0,3,3.0,8.0,0.0,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5016,Diamond Mtn/Bonanza,9CD,19,,18.0,17,,,,4.0,94.4,,5,17|19|18|4.0|94.4,,9CD PB5016 Diamond Mtn/Bonanza 17 19 18 4.0 94.4,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,17,19,18.0,4.0,94.4,,,,,,
2024,2025,24_bg_report.pdf,120,Big Game,,Pronghorn,PB5008,"Fillmore, Oak Creek South",21,13,,12.0,10,,,,7.1,83.3,,5,10|13|12|7.1|83.3,,"21 PB5008 Fillmore, Oak Creek South 10 13 12 7.1 83.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,10,13,12.0,7.1,83.3,,,,,,
