reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,unit,unit_name,metric_name,metric_value,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2015,2016,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2015.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2016,2017,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2016.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2017,2018,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2017.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2018,2019,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2018.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2019,2020,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2019.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2020,2021,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2020.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2021,2022,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2021.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2022,2023,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2022.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2023,2024,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2023.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
2024,2025,Desert Sheep.pdf,4,Desert Bighorn Sheep Extra,"Total ram desert bighorn sheep harvest by management unit, Utah 2015-2024",Desert Bighorn Sheep,Unit,Unit name,ram_harvest,2024.0,Unit Unit name 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024,True,True,True
