reported_hunt_year,model_target_year,species,source_file,source_page,source_family,section_title,ram_harvest,permits,hunters_afield,average_days,percent_success,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line
1967,1968,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,9.0,10.0,9.0,2.7,100.0,True,True,True,1967 9 10 9 2.7 100.0
1968,1969,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,3.0,10.0,10.0,5.2,30.0,True,True,True,1968 3 10 10 5.2 30.0
1969,1970,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,6.0,10.0,10.0,5.5,60.0,True,True,True,1969 6 10 10 5.5 60.0
1970,1971,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,4.0,10.0,10.0,7.4,40.0,True,True,True,1970 4 10 10 7.4 40.0
1971,1972,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,1.0,10.0,10.0,,10.0,True,True,True,1971 1 10 10 — 10.0
1972,1973,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,1.0,10.0,8.0,,12.5,True,True,True,1972 1 10 8 — 12.5
1973,1974,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,,,,,,True,True,True,1973 — — — — —
1974,1975,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,,,,,,True,True,True,1974 — — — — —
1975,1976,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,2.0,5.0,5.0,6.2,40.0,True,True,True,1975 2 5 5 6.2 40.0
1976,1977,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,4.0,10.0,10.0,8.7,40.0,True,True,True,1976 4 10 10 8.7 40.0
1977,1978,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,10.0,25.0,25.0,9.0,40.0,True,True,True,1977 10 25 25 9.0 40.0
1978,1979,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,7.0,23.0,23.0,8.6,30.4,True,True,True,1978 7 23 23 8.6 30.4
1979,1980,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,3.0,18.0,18.0,13.1,16.7,True,True,True,1979 3 18 18 13.1 16.7
1980,1981,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,10.0,19.0,19.0,12.7,52.6,True,True,True,1980 10 19 19 12.7 52.6
1981,1982,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,5.0,18.0,18.0,12.6,27.8,True,True,True,1981 5 18 18 12.6 27.8
1982,1983,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,6.0,11.0,11.0,9.9,54.5,True,True,True,1982 6 11 11 9.9 54.5
1983,1984,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,9.0,10.0,10.0,15.0,90.0,True,True,True,1983 9 10 10 15.0 90.0
1984,1985,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,5.0,14.0,14.0,13.4,35.7,True,True,True,1984 5 14 14 13.4 35.7
1985,1986,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,12.0,15.0,15.0,8.3,80.0,True,True,True,1985 12 15 15 8.3 80.0
1986,1987,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,10.0,14.0,14.0,8.0,71.4,True,True,True,1986 10 14 14 8.0 71.4
1987,1988,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,7.0,12.0,12.0,8.2,58.3,True,True,True,1987 7 12 12 8.2 58.3
1988,1989,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,12.0,15.0,15.0,8.1,80.0,True,True,True,1988 12 15 15 8.1 80.0
1989,1990,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,10.0,12.0,12.0,10.5,83.3,True,True,True,1989 10 12 12 10.5 83.3
1990,1991,Desert Bighorn Sheep,Desert Sheep.pdf,1,Desert Bighorn Sheep Extra,Statewide desert bighorn sheep harvest statistics,12.0,15.0,15.0,7.1,80.0,True,True,True,1990 12 15 15 7.1 80.0
