reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,unit,hunt_type,bull_harvest,harvest,avg_age_2024,avg_age_3yr_average,avg_age_vs_objective_midpoint
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6600,Henry Mtns,15,2.0,,2.0,2.0,2.0,,,12.5,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,15 DS6600 Henry Mtns 2 2 2 12.5 100.0,1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,15,,2.0,2.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS1001,Henry Mtns (conservation),15,1.0,,1.0,1.0,1.0,,,3.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,15 DS1001 Henry Mtns (conservation) 1 1 1 3.0 100.0,1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,15,,1.0,1.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6601,"Kaiparowits, East",26,9.0,,9.0,9.0,9.0,,,15.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"26 DS6601 Kaiparowits, East 9 9 9 15.0 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,26,,9.0,9.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6602,"Kaiparowits, Escalante",26,8.0,,8.0,7.0,7.0,,,10.3,87.5,,,,extra_oil_goat_bison_desert_sheep_supplement,"26 DS6602 Kaiparowits, Escalante 7 8 8 10.3 87.5",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,26,,7.0,7.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS1003,"Kaiparowits, Escalante (conservation)",26,1.0,,1.0,1.0,1.0,,,7.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"26 DS1003 Kaiparowits, Escalante (conservation) 1 1 1 7.0 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,26,,1.0,1.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6603,"Kaiparowits, West",26,6.0,,6.0,6.0,6.0,,,4.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"26 DS6603 Kaiparowits, West 6 6 6 4.0 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,26,,6.0,6.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS1006,"Kaiparowits, West (conservation)",26,1.0,,1.0,1.0,1.0,,,1.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"26 DS1006 Kaiparowits, West (conservation) 1 1 1 1.0 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,26,,1.0,1.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6604,"La Sal, Potash/South Cisco",13,7.0,,7.0,7.0,7.0,,,9.3,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"13 DS6604 La Sal, Potash/South Cisco 7 7 7 9.3 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,13,,7.0,7.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6625,Mineral Mtns,22,2.0,,2.0,2.0,2.0,,,2.0,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,22 DS6625 Mineral Mtns 2 2 2 2.0 100.0,1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,22,,2.0,2.0,,,
2024,2025,Desert Sheep.pdf,3,Desert Bighorn Sheep Extra,"Total desert bighorn sheep harvest by hunt, Utah 2024",Desert Bighorn Sheep,DS6621,"Pine Valley, Beaver Dam",30,6.0,,6.0,6.0,6.0,,,7.7,100.0,,,,extra_oil_goat_bison_desert_sheep_supplement,"30 DS6621 Pine Valley, Beaver Dam 6 6 6 7.7 100.0",1e9586d8747156e48bc985e0665bef44c717f88741217d747caa7eab8246f8e0,/mnt/data/Desert Sheep.pdf,True,True,True,,,,,,,,,,,,30,,6.0,6.0,,,
