reported_hunt_year,model_target_year,source_status,source_file,hunt_code,species,sex_type,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,success_rate_pct,average_days_hunted,hunter_satisfaction,harvest_permit_rate,hunter_success_rate,success_norm,satisfaction_norm,effort_inverse_signal,quality_signal_mean,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,reason_codes
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI0001,Bison,Hunter's Choice,Antelope Island,OIAL,Any Legal Weapon,7,7,7,100,1,4.8,1.0,1.0,1.0,0.95,0.9,0.975,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI1000,Bison,Hunter's Choice,Bison - Statewide Permit,Sportsman,Any Legal Weapon,2,2,2,100,1,5,1.0,1.0,1.0,1.0,0.9,1.0,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6500,Bison,Hunter's Choice,Antelope Island,OIAL,Any Legal Weapon,2,2,2,100,1,5,1.0,1.0,1.0,1.0,0.9,1.0,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6503,Bison,Hunter's Choice,Henry Mtns,OIAL,Any Legal Weapon,15,15,14,93.3,2.4,4.6,0.9333,0.9333,0.933,0.9,0.76,0.9165,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6504,Bison,Hunter's Choice,Henry Mtns,OIAL,Any Legal Weapon,13,13,13,100,4.5,4.2,1.0,1.0,1.0,0.8,0.55,0.9,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6505,Bison,Female Only,Henry Mtns,OIAL,Any Legal Weapon,28,28,22,78.6,4,4,0.7857,0.7857,0.786,0.75,0.6,0.768,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6506,Bison,Female Only,Henry Mtns,OIAL,Any Legal Weapon,29,29,27,93.1,5.5,4.3,0.931,0.931,0.931,0.825,0.45,0.878,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6509,Bison,Hunter's Choice,Henry Mtns,OIAL,Archery,3,3,2,66.7,7,4.3,0.6667,0.6667,0.667,0.825,0.3,0.746,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6516,Bison,Hunter's Choice,Henry Mtns,OIAL,Any Legal Weapon,13,13,13,100,3.5,4.5,1.0,1.0,1.0,0.875,0.65,0.9375,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
2025,2026,preliminary,2026-03-06-2025-preliminary-bg-harvest.xlsx,BI6527,Bison,Hunter's Choice,Nine Mile,OIAL,Any Legal Weapon,18,15,0,0,9,3.6,0.0,0.0,0.0,0.65,0.1,0.325,True,True,True,PRELIMINARY_2025_HARVEST|QUALITY_HISTORY_FEATURE|NOT_QUOTA|NOT_DIRECT_P_DRAW
