overlay_id,permit_class,source_cycle,permit_year_rule,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permit_count_per_year,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,match_key,assignment_type,selected_hunt_code,component_hunt_codes,component_boundary_ids,conservation_area_id,primary_hunt_code,bundle_conservation_hunt_codes,bundle_expo_hunt_codes,boundary_reference_hunt_codes,database_hunt_codes,database_hunt_names,database_match_statuses,active_hunt_codes,active_permit_count,extracted_permit_count,compare_status,geometry_mapping_status,reconciliation_status,classification_note,review_status,source_file,do_not_use_directly_for_p_draw,do_not_merge_into_public_draw_quota,permit_year,permit_count,species_original
CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,UWSF,"Book Cliffs, Bitter Creek, Hunter's Choice",book-cliffs-bitter-creek-hunter-s-choice,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],35000.0,Bison,65,System.Object[],bison|book cliffs bitter creek hunter s choice|any legal weapon,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,unmatched,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,1.0,1.0,match,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,PERMIT_COUNT_RECONCILED,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BISON-BOOK-CLIFFS-LITTLE-CREEK-SOUTH-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,SFW,"Book Cliffs, Little Creek/South, Hunter's Choice",book-cliffs-little-creek-south-hunter-s-choice,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],35000.0,Bison,66,System.Object[],bison|book cliffs little creek south hunter s choice|any legal weapon,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,unmatched,CP-BISON-BOOK-CLIFFS-LITTLE-CREEK-SOUTH-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,1.0,1.0,match,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,PERMIT_COUNT_RECONCILED,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BISON-HENRY-MTNS-COW-ONLY-LATE--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,SFW,"Henry Mtns, Cow Only (late)",henry-mtns-cow-only-late,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],9166.67,Bison,68,System.Object[],bison|henry mtns cow only late|any legal weapon,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,unmatched,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-EARLY--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,RMEF,"Henry Mtns, Hunter's Choice (early)",henry-mtns-hunter-s-choice-early,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],68333.33,Bison,67,System.Object[],bison|henry mtns hunter s choice early|any legal weapon,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,unmatched,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-LATE--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,SCI,"Henry Mtns, Hunter's Choice (late)",henry-mtns-hunter-s-choice-late,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],40333.33,Bison,69,System.Object[],bison|henry mtns hunter s choice late|any legal weapon,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,unmatched,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BISON-STATEWIDE--ANY-LEGAL-WEAPON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Bison,,Conservation,SFW,Statewide,statewide,System.Object[],Any Legal Weapon,Any Legal Weapon,1,System.Object[],121666.67,Bison,70,System.Object[],bison|statewide|any legal weapon,statewide_conservation_overlay,BI1000,,System.Object[],,,,,,BI1000,Bison - Statewide Permit,matched_high_confidence,CP-BISON-STATEWIDE--ANY-LEGAL-WEAPON,1.0,1.0,match,STATEWIDE_BOUNDARY,PERMIT_COUNT_RECONCILED,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Bison
CP-BLACK-BEAR-BEAVER-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,Beaver,beaver,System.Object[],ALW,ALW,1,System.Object[],9500.0,Bear,21,System.Object[],black bear|beaver|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,MDF,"Book Cliffs, Bitter Creek/South",book-cliffs-bitter-creek-south,System.Object[],ALW,ALW,1,System.Object[],5283.33,Bear,23,System.Object[],black bear|book cliffs bitter creek south|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,"Book Cliffs, Bitter Creek/South",book-cliffs-bitter-creek-south,System.Object[],ALW,ALW,3,System.Object[],5283.33,Bear,22,System.Object[],black bear|book cliffs bitter creek south|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,3,Black Bear
CP-BLACK-BEAR-BOOK-CLIFFS-LITTLE-CREEK-ROADLESS-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,"Book Cliffs, Little Creek Roadless",book-cliffs-little-creek-roadless,System.Object[],ALW,ALW,1,System.Object[],3333.33,Bear,26,System.Object[],black bear|book cliffs little creek roadless|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
CP-BLACK-BEAR-BOULDER-KAIPAROWITS-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,SFW,Boulder/Kaiparowits,boulder-kaiparowits,System.Object[],ALW,ALW,4,System.Object[],3983.33,Bear,27,System.Object[],black bear|boulder kaiparowits|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,4,Black Bear
CP-BLACK-BEAR-CHALK-CREEK-EAST-CANYON-MORGAN-SOUTH-RICH-EITHER-SEX-MULTISEASON,conservation,2025-2027,one_per_row_per_year_2025_2026_2027,Black Bear,Either Sex,Conservation,DSC,Chalk Creek/East Canyon/Morgan-South Rich,chalk-creek-east-canyon-morgan-south-rich,System.Object[],ALW,ALW,1,System.Object[],2850.0,Bear,31,System.Object[],black bear|chalk creek east canyon morgan south rich|alw,combined_unit_conservation_overlay,,,System.Object[],,,,,,,,,,,,,COMBINED_UNIT_OR_HUNT_TABLE_RESOLVED,,,,conservation-permit-hunt-table-2025-27.csv,True,True,2026,1,Black Bear
