expo_row_id,source_year,permit_class,description,normalized_description_key,expo_permits,selected_hunt_code,match_status,match_confidence,match_notes,draw_2025_public_permits,harvest_report_2025_total_permits,rac_2026_total_permits,draw_2025_plus_expo,harvest_2025_minus_draw_plus_expo,rac_2026_minus_draw_plus_expo,source_hunt_name,source_weapon,discrepancy_flags,final_assignment_type,selected_boundary_id,component_hunt_codes,user_rule_applied,issue_class
1,2025,expo,"Buck Deer - Limited Entry - Any Weapon - Book Cliffs, North - Permits: 4","Buck Deer - Limited Entry - Any Weapon - Book Cliffs, North",4,DB1017,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,123.0,128.0,152.0,127.0,1.0,25.0,"Book Cliffs, North",Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
2,2025,expo,"Buck Deer - Limited Entry - Any Weapon - Book Cliffs, South - Permits: 3","Buck Deer - Limited Entry - Any Weapon - Book Cliffs, South",3,DB1018,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,29.0,31.0,38.0,32.0,-1.0,6.0,"Book Cliffs, South",Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
3,2025,expo,Buck Deer - Limited Entry - Archery - Book Cliffs - Permits: 2,Buck Deer - Limited Entry - Archery - Book Cliffs,2,DB1011,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,48.0,52.0,61.0,50.0,2.0,11.0,Book Cliffs,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
4,2025,expo,Buck Deer - Limited Entry - Muzzleloader - Book Cliffs - Permits: 3,Buck Deer - Limited Entry - Muzzleloader - Book Cliffs,3,DB1025,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,47.0,51.0,61.0,50.0,1.0,11.0,Book Cliffs,Muzzleloader,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
5,2025,expo,"Buck Deer - Limited Entry - Muzzleloader - Cache, Crawford Mtn - Permits: 1","Buck Deer - Limited Entry - Muzzleloader - Cache, Crawford Mtn",1,DB1026,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,7.0,8.0,9.0,8.0,0.0,1.0,"Cache, Crawford Mtn",Muzzleloader,RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,YEAR_TO_YEAR_QUOTA_CHANGE_OR_MISSING_OVERLAY
6,2025,expo,Buck Deer - Limited Entry - Late-season Muzzleloader - Manti/San Rafael - Permits: 1,Buck Deer - Limited Entry - Late-season Muzzleloader - Manti/San Rafael,1,DB1079,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,41.0,40.0,45.0,42.0,-2.0,3.0,Manti/San Rafael,Muzzleloader,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
7,2025,expo,"Buck Deer - Limited Entry - Any Weapon - Fillmore, Oak Creek LE - Permits: 2","Buck Deer - Limited Entry - Any Weapon - Fillmore, Oak Creek LE",2,DB1019,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,32.0,40.0,37.0,34.0,6.0,3.0,"Fillmore, Oak Creek LE",Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
8,2025,expo,Buck Deer - Premium Limited Entry - Premium Any Weapon - Henry Mtns - Permits: 1,Buck Deer - Premium Limited Entry - Premium Any Weapon - Henry Mtns,1,DB1003,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,24.0,27.0,27.0,25.0,2.0,2.0,Henry Mtns,Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
9,2025,expo,Buck Deer - Premium Limited Entry - Premium Any Weapon - Paunsaugunt - Permits: 3,Buck Deer - Premium Limited Entry - Premium Any Weapon - Paunsaugunt,3,DB1004,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,80.0,90.0,83.0,83.0,7.0,0.0,Paunsaugunt,Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
10,2025,expo,Buck Deer - Premium Limited Entry - Premium Archery - Paunsaugunt - Permits: 1,Buck Deer - Premium Limited Entry - Premium Archery - Paunsaugunt,1,DB1001,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,28.0,34.0,29.0,29.0,5.0,0.0,Paunsaugunt,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
