reported_hunt_year,species,hunt_family,unique_hunt_codes,hunt_code_row_count,harvest_sum_hunt_code_rows,permits_sum_hunt_code_rows,hunters_afield_sum_hunt_code_rows,weighted_success_pct_hunt_code_rows,prior_year_harvest_sum_hunt_code_rows,harvest_yoy_change,harvest_yoy_pct_change,prior_year_unique_hunt_codes,hunt_code_yoy_change
1967,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,,,,,
1968,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1969,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1970,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1971,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1972,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1973,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1974,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1975,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1976,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1977,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1978,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1979,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1980,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1981,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1982,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1983,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1984,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1985,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1986,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1987,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1988,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1989,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1990,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1991,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1991,Turkey,Turkey,0,0,0.0,0.0,0.0,,,,,,
1992,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1992,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1993,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1993,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1994,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1994,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1995,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1995,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1996,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1996,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1997,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1997,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1998,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1998,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1999,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
1999,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2000,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2000,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2001,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2001,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2002,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2002,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2003,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2003,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2004,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2004,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2005,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2005,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2006,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2006,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2007,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2007,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2008,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2008,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2009,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2009,Turkey,Turkey,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
2010,Black Bear,Black Bear,0,0,0.0,0.0,0.0,,0.0,0.0,,0,0
