reported_hunt_year,model_target_year,hunt_code,species,hunt_name,hunt_type,permits,permit_overlay_class,permit_overlay_use,public_draw_odds_use,p_draw_math_use,source_file,source_container
2021,2022,BR7307,Black Bear,La Sal,,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DA1011,Antlerless Deer,George Creek,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DA1012,Antlerless Deer,* Junction Valley,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DA1013,Antlerless Deer,Mt Carmel,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1056,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1075,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1076,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1200,Deer,Alton,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1201,Deer,Alton (management buck),,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1202,Deer,Antelope Creek,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1203,Deer,Avintaquin Canyon,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1204,Deer,Bally Watts,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1205,Deer,Bar J Ranch,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1206,Deer,Bear Mountain,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
2021,2022,DB1207,Deer,Bear Springs,,,CWMU,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip
