reported_hunt_year,model_target_year,hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,source_permits,hunters,harvest,percent_success,avg_days,satisfaction,source_file,source_sha256,source_page,source_row,canonical_match_status,validation_status,validation_notes,calculated_percent_success,percent_success_delta
2025,2026,BI0001,,Antelope Island,Bison,Hunter's Choice,OIAL,,Any Legal Weapon,7,7,7,100.0,1.0,4.8,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,2,HUNT_CODE_NOT_IN_2026_DATABASE,VALID,,100.0,0.0
2025,2026,BI1000,5000,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,,Any Legal Weapon,2,2,2,100.0,1.0,5.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,3,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6500,1,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,2,2,2,100.0,1.0,5.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,4,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6503,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,15,15,14,93.3,2.4,4.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,5,DATABASE_MATCHED,VALID,,93.333,0.033
2025,2026,BI6504,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,13,13,13,100.0,4.5,4.2,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,6,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6505,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,,Any Legal Weapon,28,28,22,78.6,4.0,4.0,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,7,DATABASE_MATCHED,VALID,,78.571,0.029
2025,2026,BI6506,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,,Any Legal Weapon,29,29,27,93.1,5.5,4.3,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,8,DATABASE_MATCHED,VALID,,93.103,0.003
2025,2026,BI6509,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,,Archery,3,3,2,66.7,7.0,4.3,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,9,DATABASE_MATCHED,VALID,,66.667,0.033
2025,2026,BI6516,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,,Any Legal Weapon,13,13,13,100.0,3.5,4.5,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,10,DATABASE_MATCHED,VALID,,100.0,0.0
2025,2026,BI6527,615,Nine Mile,Bison,Hunters Choice,General Season,,Any Legal Weapon,18,15,0,0.0,9.0,3.6,pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf,e6cbb75de4bc893508ea44d47127314cb76fcb592dcb5a1e4433eb418f7ed377,1,11,DATABASE_MATCHED,VALID,,0.0,0.0
