path,filename,inferred_species,inferred_year,inferred_report_type,file_size_bytes,modified_time,sha256,page_count,extraction_status,likely_metric_families
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/04F508BD__2013_all_species_hr.pdf,04F508BD__2013_all_species_hr.pdf,Unknown,2013,harvest_result,123547,2026-04-22T23:24:44.032627+00:00,4f057c9514c0d883c9374a23392ad3b71e304b21117ebec43323ad143e578bd2,18,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/1400385D__2013_moose_hr.pdf,1400385D__2013_moose_hr.pdf,Moose,2013,harvest_result,27835,2026-04-22T23:24:44.286220+00:00,019c4dfef9adaacc1cab5c6c8def5332ffc73c649843665ad8452d17feb214a0,2,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/31B5012A__2013_mg_hr.pdf,31B5012A__2013_mg_hr.pdf,Unknown,2013,harvest_result,14975,2026-04-22T23:24:44.320836+00:00,914ff2990b1252cfde833e4d79bc4ad96968941df05534193357bf0c1b0d9faf,1,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/3C5A3350__2013_rmbs_hr.pdf,3C5A3350__2013_rmbs_hr.pdf,Unknown,2013,harvest_result,13617,2026-04-22T23:24:44.356164+00:00,74009a0daf697b6906c93360828c8188433588fd30d13d5546f498ca5e5d8785,1,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/58DF2D11__2013_gs_deer_hr.pdf,58DF2D11__2013_gs_deer_hr.pdf,Deer,2013,harvest_result,48461,2026-04-22T23:24:44.140509+00:00,9c1aeb78c2f0d67eef6ed12888450948de84451a8d9f4c029bdcc363fafc18d4,4,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/8949AE45__2013_le_elk_hr.pdf,8949AE45__2013_le_elk_hr.pdf,Elk,2013,harvest_result,66974,2026-04-22T23:24:44.211748+00:00,2111a8f283a038e269b6c2b282c18233ce8c3810d8008af7f5953018c984ac04,6,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/8995B15E__2013_bison_hr.pdf,8995B15E__2013_bison_hr.pdf,Bison,2013,harvest_result,13266,2026-04-22T23:24:44.068161+00:00,d0942da4e361244e6e468c64fb7b6b72c8cd8132219c8b50d04cfdf6a071dfd7,1,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/BA46974B__2013_le_pronghorn_hr.pdf,BA46974B__2013_le_pronghorn_hr.pdf,Pronghorn,2013,harvest_result,32339,2026-04-22T23:24:44.248341+00:00,815cfa5795074ebd856575ac4416217af38c074bf964a10c035497d8fb54bda7,2,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/FA55B0D7__2013_le_deer_hr.pdf,FA55B0D7__2013_le_deer_hr.pdf,Deer,2013,harvest_result,51732,2026-04-22T23:24:44.176645+00:00,d3f5a06b5610117c78dfbcf34bc45522784e014f95d272ab390c27c64cff4dbf,4,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
pipeline/RAW/hunt_unit_database/2013/pdf/harvest_report/FB91F4A9__2013_dbs_hr.pdf,FB91F4A9__2013_dbs_hr.pdf,Unknown,2013,harvest_result,14290,2026-04-22T23:24:44.103135+00:00,6b38331886867e29a1d2e7634a056a59b3af8cc6abd446fe5914b8b6b192658d,1,raw_pdf_unparsed,harvest;hunters_afield;success_rate;mean_days_hunted;permits
