hunt_code,hunt_type,hunt_kind,draw_pool,residency,prediction_year,quota_residency,reserved_quota,random_quota,quota_source_status,reserved_fraction,applicant_rollover_source_year,retention_rate_raw,retention_rate_smoothed,rolled_forward_total_applicants,rolled_forward_unsuccessful_applicants,lower_point_additions,points_modeled,expected_cutoff_points,iterations
BI6500,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.873877,0.86552,3435,3247,622,33,31.0,600
BI6503,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.827619,0.835452,4911,3796,1737,33,30.0,600
BI6503,Once-in-a-lifetime,OIL,standard,Resident,2026,4,2,2,official,0.5,2025,1.039705,0.973308,5520,4960,693,34,29.0,600
BI6504,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.954167,0.917708,2249,1718,671,33,29.0,600
BI6504,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,1.032372,0.968542,2032,1756,334,33,27.0,600
BI6505,Once-in-a-lifetime,OIL,standard,Nonresident,2026,3,2,1,official,0.6667,2025,1.069486,0.992666,699,414,285,33,22.0,600
BI6505,Once-in-a-lifetime,OIL,standard,Resident,2026,8,4,4,official,0.5,2025,0.899384,0.8821,362,318,80,33,20.0,600
BI6506,Once-in-a-lifetime,OIL,standard,Resident,2026,11,6,5,official,0.5455,2025,1.015951,0.957868,451,354,112,33,17.0,600
BI6509,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,0.831181,0.837768,411,365,101,33,20.0,600
BI6516,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,0.935182,0.905368,1246,1096,257,33,26.0,600
BI6528,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,0.980892,0.93508,136,120,24,33,22.0,600
