retired_at_utc,retirement_reason,effective_year,hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
2026-05-26T17:01:03+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1007,227,"Wasatch Mtns, Currant Creek",Antlerless,Elk,Any Legal Weapon,General Season,Oct 03 2026 - Oct 15 2026,180,20,200,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,180,20,200,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:01:03+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1053,132,"Nine Mile, West Anthro",Antlerless,Elk,Any Legal Weapon,General Season,Jan 16 2027 - Jan 24 2027,45,5,50,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,45,5,50,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1287,867,"Box Elder, Grouse Creek",Antlerless,Elk,Any Legal Weapon,General Season,Nov 06 2026 - Jan 31 2027,27,3,30,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,27,3,30,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1288,952,"Manti, Ferron Lower Escarpment",Antlerless,Elk,Any Legal Weapon,General Season,Dec 22 2026 - Jan 31 2027,36,4,40,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1289,952,"Manti, Ferron Lower Escarpment",Antlerless,Elk,Any Legal Weapon,General Season,Nov 14 2026 - Dec 21 2026,36,4,40,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1290,952,"Manti, Ferron Lower Escarpment",Antlerless,Elk,Any Legal Weapon,General Season,Sept 16 2026 - Nov 13 2026,36,4,40,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,36,4,40,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1291,950,"Mt Dutton, North",Antlerless,Elk,Any Legal Weapon,General Season,Dec 19 2026 - Jan 10 2027,72,8,80,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,72,8,80,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1292,950,"Mt Dutton, North",Antlerless,Elk,Any Legal Weapon,General Season,Nov 21 2026 - Dec 06 2026,72,8,80,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,72,8,80,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1293,140,"North Slope, Three Corners",Antlerless,Elk,Any Legal Weapon,General Season,Oct 03 2026 - Oct 16 2026,22,3,25,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
2026-05-26T17:12:37+00:00,USER_CONFIRMED_CEASES_TO_EXIST_ONLINE_EFFECTIVE_2026,2026,EA1294,951,"Paunsaugunt, East Creek",Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2026 - Aug 12 2026,22,3,25,Added from direct 2026 RAC current-year allotment row.,,,,,,,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,22,3,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
