source_file,source_sha256,source_page,line_number,text
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,1,Utah Division of Wildlife Resources 07/10/2024
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,2,"2024 Draw 7, Antlerless Preference Point Draw Results Page 1"
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,3,"Hunt: DA1001 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only"
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,4,Resident Applicants Non-Resident Applicants
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,5,Total Total
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,6,Preference Eligible Bonus Regular Total Success Preference Eligible Bonus Regular Total Success
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,7,Points Applicants # Permits # Permits # Permits Ratio Points Applicants # Permits # Permits # Permits Ratio
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,8,18 0 0 0 0 N/A 18 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,9,17 0 0 0 0 N/A 17 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,10,16 0 0 0 0 N/A 16 0 0 0 0 N/A
