hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR1008,Book Cliffs,Book Cliffs - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,3,89,13,13,26,3,0,2,2,28,BEAR_PURSUIT_BONUS_DRAW
BR1009,La Sal,La Sal - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,4,117,7,7,14,4,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1010,San Juan,San Juan - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,5,54,7,7,14,2,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1011,Book Cliffs,Book Cliffs - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,6,42,13,13,26,3,1,1,2,28,BEAR_PURSUIT_BONUS_DRAW
BR1012,La Sal,La Sal - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,7,85,7,7,14,5,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1013,San Juan,San Juan - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,8,36,7,7,14,1,0,1,1,15,BEAR_PURSUIT_BONUS_DRAW
BR1015,Book Cliffs,Book Cliffs - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,9,0,0,0,0,6,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR1016,San Juan,San Juan - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,10,0,0,0,0,7,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR1017,La Sal,La Sal - Pursuit,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,11,0,0,0,0,11,1,1,2,2,BEAR_PURSUIT_BONUS_DRAW
BR7000,Beaver,Beaver -Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,12,136,5,4,9,18,0,1,1,10,TRUE_BEAR_BONUS_DRAW
