reported_draw_year,model_target_year,source_family,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,successful_resident,successful_nonresident,unsuccessful_resident,unsuccessful_nonresident,total_applications,resident_quota,nonresident_quota,total_quota,resident_success,nonresident_success,source_file,source_path,source_sha256,source_pages,source_note
2023,2024,SPORTSMAN,BI1000,5000,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,BI1000,5000,Sportsman Bison,Bison,Hunters Choice,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,5964,0,5965,1,,1,"1 in 5,965.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,BR1000,5001,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,BR1000,5001,Sportsman Black Bear,Black Bear,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,1584,0,1585,1,,1,"1 in 1,585.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,CG1000,,SOURCE_CODE_NOT_IN_DATABASE,BOUNDARY_NOT_REVIEWED,CG1000,,Sportsman Cougar,Cougar,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,1410,0,1411,1,,1,"1 in 1,411.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,DB0007,5108,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DB0007,5108,Sportsman Deer,Deer,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,10593,0,10594,1,,1,"1 in 10,594.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,DS1000,5110,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,DS1000,5110,Sportsman Desert Bighorn Sheep,Desert Bighorn Sheep,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,5085,0,5086,1,,1,"1 in 5,086.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,EB1000,5119,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,EB1000,5119,Sportsman Elk,Elk,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,10846,0,10847,1,,1,"1 in 10,847.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,GO1000,5131,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,GO1000,5131,Sportsman Mountain Goat,Mountain Goat,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,4112,0,4113,1,,1,"1 in 4,113.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,MB1000,5133,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,MB1000,5133,Sportsman Moose,Moose,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,6584,0,6585,1,,1,"1 in 6,585.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,PB1000,5134,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,PB1000,5134,Sportsman Pronghorn,Pronghorn,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,4527,0,4528,1,,1,"1 in 4,528.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
2023,2024,SPORTSMAN,RS0001,5135,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,RS0001,5135,Sportsman Rocky Mtn Bighorn Sheep,Rocky Mountain Bighorn Sheep,,Sportsman,Sportsman Permit,Any Legal Weapon,1,0,5237,0,5238,1,,1,"1 in 5,238.0",,2022-23 Sportsman draw odds report.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2022-23 Sportsman draw odds report.pdf,fc7c64978355dfaa859b884dcb66ab67c3c9daefa595d2e5cdbf3a5917a2000a,1,Normalized from user-provided copy/paste of the 2022-2023 Sportsman Draw Odds Report table and verified against PDF code presence.
