reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5000,Pronghorn,22,Beaver,7|7|7|5.0|100.0,"[7, 7, 7, 5.0, 100.0]",22 PB5000 Beaver 7 7 7 5.0 100.0,7.0,7,7.0,5.0,100.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5001,Pronghorn,10,"Book Cliffs, Bitter Creek",7|7|7|1.3|100.0,"[7, 7, 7, 1.3, 100.0]","10 PB5001 Book Cliffs, Bitter Creek 7 7 7 1.3 100.0",7.0,7,7.0,1.3,100.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5002,Pronghorn,10,"Book Cliffs, South",4|6|6|5.0|66.7,"[4, 6, 6, 5.0, 66.7]","10 PB5002 Book Cliffs, South 4 6 6 5.0 66.7",4.0,6,6.0,5.0,66.7,4.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5003,Pronghorn,1,"Box Elder, Promontory",0|3|2|7.0|0.0,"[0, 3, 2, 7.0, 0.0]","1 PB5003 Box Elder, Promontory 0 3 2 7.0 0.0",0.0,3,2.0,7.0,0.0,0.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5004,Pronghorn,1,"Box Elder, Puddle Valley",3|5|5|6.8|50.0,"[3, 5, 5, 6.8, 50.0]","1 PB5004 Box Elder, Puddle Valley 3 5 5 6.8 50.0",3.0,5,5.0,6.8,50.0,3.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5005,Pronghorn,1,"Box Elder, Snowville",6|8|6|1.0|100.0,"[6, 8, 6, 1.0, 100.0]","1 PB5005 Box Elder, Snowville 6 8 6 1.0 100.0",6.0,8,6.0,1.0,100.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5006,Pronghorn,1,"Box Elder, West",2|7|7|7.6|28.6,"[2, 7, 7, 7.6, 28.6]","1 PB5006 Box Elder, West 2 7 7 7.6 28.6",2.0,7,7.0,7.6,28.6,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5007,Pronghorn,2/3/4,Cache/Morgan-South Rich/Ogden,3|11|8|9.0|37.5,"[3, 11, 8, 9.0, 37.5]",2/3/4 PB5007 Cache/Morgan-South Rich/Ogden 3 11 8 9.0 37.5,3.0,11,8.0,9.0,37.5,3.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5008,Pronghorn,21,"Fillmore, Oak Creek South",2|8|8|6.0|28.6,"[2, 8, 8, 6.0, 28.6]","21 PB5008 Fillmore, Oak Creek South 2 8 8 6.0 28.6",2.0,8,8.0,6.0,28.6,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5009,Pronghorn,13,"La Sal, Potash/South Cisco",3|4|4|4.0|75.0,"[3, 4, 4, 4.0, 75.0]","13 PB5009 La Sal, Potash/South Cisco 3 4 4 4.0 75.0",3.0,4,4.0,4.0,75.0,3.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5332,Pronghorn,24/27,Mt Dutton/Paunsaugunt,4|10|10|7.5|40.0,"[4, 10, 10, 7.5, 40.0]",24/27 PB5332 Mt Dutton/Paunsaugunt 4 10 10 7.5 40.0,4.0,10,10.0,7.5,40.0,4.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5011,Pronghorn,11,"Nine Mile, Anthro-Myton Bench",17|18|17|3.1|100.0,"[17, 18, 17, 3.1, 100.0]","11 PB5011 Nine Mile, Anthro-Myton Bench 17 18 17 3.1 100.0",17.0,18,17.0,3.1,100.0,17.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5053,Pronghorn,11,"Nine Mile, Range Creek",1|2|2|3.5|50.0,"[1, 2, 2, 3.5, 50.0]","11 PB5053 Nine Mile, Range Creek 1 2 2 3.5 50.0",1.0,2,2.0,3.5,50.0,1.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
