reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_sold,hunters_afield,harvest_total,percent_permits_filled,bears_per_hunter,percent_female,depredation_other_mortality,total_harvest_mortality,pursuit_permits,raw_line,source_sha256,percent_success,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,parse_notes,section_title,hunt_name,hunt_code,permits_issued,harvest_male,harvest_female,harvest_unknown,percent_adult_male,mean_age,depredation_male,depredation_female,depredation_unknown,average_age,unit_context,permits_or_quota,percent_permits_or_quota_filled,depredation_mortality,permits,season,hunt_type,quota,percent_quota_filled,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,pursuit_type,pursuers_afield,bears_per_pursuit_day,bears_per_pursuer,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,unit_code,table_year_start,table_year_end
1967,1968,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,15.0,,,,12.0,27.0,,1967 — — 15 — — — 12 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,1969,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,12.0,,,,9.0,21.0,,1968 — — 12 — — — 9 21 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1970,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,43.0,31.0,25.0,58.0,0.8,,27.0,52.0,,1969 43 31 25 58 0.8 — 27 52 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,58.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1971,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,155.0,119.0,9.0,6.0,0.1,,18.0,27.0,,1970 155 119 9 6 0.1 — 18 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,6.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,1972,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,59.0,48.0,17.0,29.0,0.4,,16.0,33.0,,1971 59 48 17 29 0.4 — 16 33 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,29.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,1973,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,96.0,77.0,19.0,20.0,0.3,,7.0,26.0,,1972 96 77 19 20 0.3 — 7 26 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,20.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,1974,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,125.0,114.0,25.0,20.0,0.2,,0.0,25.0,,1973 125 114 25 20 0.2 — 0 25 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,20.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,1975,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,134.0,117.0,29.0,22.0,0.3,,9.0,38.0,,1974 134 117 29 22 0.3 — 9 38 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,22.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1976,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,161.0,144.0,22.0,14.0,0.2,41.0,2.0,24.0,161.0,1975 161 144 22 14 0.2 41 2 24 161,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,14.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,1977,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,107.0,96.0,10.0,9.0,0.1,42.0,7.0,17.0,48.0,1976 107 96 10 9 0.1 42 7 17 48,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,9.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
