report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,year,permits_sold,total_hunters,total_harvest,turkeys_per_hunter_day,percent_success,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,1991,1991,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1991,607,550,70,0.0,12.7,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1992,1992,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1992,559,504,68,0.0,13.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1993,1993,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1993,542,507,100,0.1,19.7,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1994,1994,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1994,440,390,136,0.1,34.9,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1995,1995,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1995,470,410,143,0.1,34.9,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1996,1996,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1996,529,486,191,0.1,39.3,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1997,1997,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1997,602,568,208,0.1,36.6,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1998,1998,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1998,621,563,256,0.1,45.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,1999,1999,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,1999,753,740,300,0.1,40.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2000,2000,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2000,1062,1011,699,0.2,69.1,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2001,2001,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2001,1381,1317,891,0.2,67.7,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2002,2002,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2002,1641,1498,785,0.1,52.4,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2003,2003,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2003,1528,1427,708,0.1,49.6,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2004,2004,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2004,1372,1279,691,0.1,54.0,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2005,2005,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2005,1996,1656,953,0.1,57.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2006,2006,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2006,2664,2429,1396,0.1,57.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2007,2007,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2007,3017,2799,1600,0.1,57.2,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2008,2008,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2008,7858,6831,2374,0.1,34.8,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2009,2009,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2009,13608,11138,2770,0.0,26.0,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2010,2010,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2010,3055,2640,925,,35.0,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2011,2011,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2011,3104,2629,865,,32.9,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2012,2012,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2012,3035,2594,824,,31.8,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2013,2013,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2013,3068,2566,1054,,41.1,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2014,2014,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2014,3081,2661,1155,,43.4,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2015,2015,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2015,3517,2918,1476,,50.6,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2016,2016,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2016,4143,3602,1583,,43.9,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2017,2017,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2017,4538,3991,1552,,38.9,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2018,2018,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2018,3769,3105,1289,,41.5,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2019,2019,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2019,2710,2164,858,,39.6,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2020,2020,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2020,1368,1235,724,,58.6,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2021,2021,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2021,2773,2323,933,,40.2,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2022,2022,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2022,1951,1634,749,,45.8,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2023,2023,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2023,1711,1296,469,,36.2,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2024,2024,2026,Wild Turkey,spring_limited_entry_cwmu_statewide_history,Spring limited entry/CWMU,2024,1497,1259,635,,50.4,2024-25 turkey.pdf,6,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
