model_target_year,reported_hunt_year,species,feature_scope,feature_key,feature_name,source_family,season,turkey_harvest_latest,turkey_hunters_afield_latest,turkey_success_rate_latest,turkey_public_days_afield_latest,turkey_private_days_afield_latest,source_file,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,reason_codes,one_year_harvest_change,one_year_success_rate_change
2026,2025,Wild Turkey,hunt_code,TK1003,Central region,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,228,433,52.0,3.5,0.5,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1004,Northeastern region,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,95,198,48.1,2.5,1.7,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1005,Northern region,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,252,460,55.6,2.3,0.8,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1006,Southeastern region,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,98,168,57.7,2.8,0.5,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1007,Southern region,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,283,531,52.9,2.8,0.5,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1018,Pahvant Ensign CWMU,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,9,11,85.7,,2.9,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,hunt_code,TK1021,East Zion CWMU,spring_limited_entry_cwmu_by_hunt,Spring limited entry/CWMU,1,7,16.7,,3.2,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Box Elder,Box Elder,spring_general_season_by_region_county,Spring general-season,51,322,15.9,2.9,1.6,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Cache,Cache,spring_general_season_by_region_county,Spring general-season,168,668,25.2,3.6,1.1,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Davis,Davis,spring_general_season_by_region_county,Spring general-season,28,252,11.1,4.1,0.7,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Morgan,Morgan,spring_general_season_by_region_county,Spring general-season,98,280,35.0,1.9,1.5,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Rich,Rich,spring_general_season_by_region_county,Spring general-season,0,5,0.0,2.0,0.0,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Summit,Summit,spring_general_season_by_region_county,Spring general-season,56,135,41.4,1.5,1.2,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,county,spring_general_season_by_region_county::Northern::Weber,Weber,spring_general_season_by_region_county,Spring general-season,149,696,21.5,3.8,0.7,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
2026,2025,Wild Turkey,regional_total,spring_general_season_by_region_county::Northern::Northern Region total,Northern Region total,spring_general_season_by_region_county,Spring general-season,550,2358,23.3,3.3,1.1,2024-25 turkey.pdf,True,True,True,TURKEY_HARVEST_QUALITY_FEATURE|NOT_DRAW_ODDS|NOT_QUOTA,,
