report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,year,permits_sold,total_hunters,total_harvest,percent_success,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,2014,2014,2026,Wild Turkey,fall_management_statewide_history,Fall management,2014,314,281,208,74.0,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2015,2015,2026,Wild Turkey,fall_management_statewide_history,Fall management,2015,700,597,363,60.8,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2016,2016,2026,Wild Turkey,fall_management_statewide_history,Fall management,2016,1178,1750,822,47.0,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2017,2017,2026,Wild Turkey,fall_management_statewide_history,Fall management,2017,881,713,419,58.8,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2018,2018,2026,Wild Turkey,fall_management_statewide_history,Fall management,2018,3415,2756,1678,60.9,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2019,2019,2026,Wild Turkey,fall_management_statewide_history,Fall management,2019,6167,5113,2963,58.0,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2020,2020,2026,Wild Turkey,fall_management_statewide_history,Fall management,2020,7710,5904,2964,50.2,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2021,2021,2026,Wild Turkey,fall_management_statewide_history,Fall management,2021,4619,3517,1652,47.0,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2022,2022,2026,Wild Turkey,fall_management_statewide_history,Fall management,2022,2843,2116,1255,59.3,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2023,2023,2026,Wild Turkey,fall_management_statewide_history,Fall management,2023,2625,1838,898,48.9,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2024,2024,2026,Wild Turkey,fall_management_statewide_history,Fall management,2024,2808,1585,1123,70.9,2024-25 turkey.pdf,4,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
