key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
bison|book cliffs little creek south hunter s choice|any legal weapon,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-LITTLE-CREEK-SOUTH-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs little creek south hunter s choice|any legal weapon,Bison
bison|henry mountains cow only late|any legal weapon,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-HENRY-MTNS-COW-ONLY-LATE--ANY-LEGAL-WEAPON,match,bison|henry mountains cow only late|any legal weapon,Bison
bison|henry mountains hunter s choice early|any legal weapon,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-EARLY--ANY-LEGAL-WEAPON,match,bison|henry mountains hunter s choice early|any legal weapon,Bison
bison|henry mountains hunter s choice late|any legal weapon,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-HENRY-MTNS-HUNTER-S-CHOICE-LATE--ANY-LEGAL-WEAPON,match,bison|henry mountains hunter s choice late|any legal weapon,Bison
bison|statewide|any legal weapon,Bison,Statewide,Any Legal Weapon,1.0,1.0,1.0,CP-BISON-STATEWIDE--ANY-LEGAL-WEAPON,match,bison|statewide|any legal weapon,Bison
bear|beaver|alw,Black Bear,Beaver,ALW,1.0,,1.0,CP-BLACK-BEAR-BEAVER-EITHER-SEX-MULTISEASON,active_only,bear|beaver|alw,Bear
bear|book cliffs bitter creek south|alw,Black Bear,"Book Cliffs, Bitter Creek/South",ALW,4.0,,2.0,CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON;CP-BLACK-BEAR-BOOK-CLIFFS-BITTER-CREEK-SOUTH-EITHER-SEX-MULTISEASON,active_only,bear|book cliffs bitter creek south|alw,Bear
bear|book cliffs little creek roadless|alw,Black Bear,"Book Cliffs, Little Creek Roadless",ALW,1.0,,1.0,CP-BLACK-BEAR-BOOK-CLIFFS-LITTLE-CREEK-ROADLESS-EITHER-SEX-MULTISEASON,active_only,bear|book cliffs little creek roadless|alw,Bear
bear|boulder kaiparowits|alw,Black Bear,Boulder/Kaiparowits,ALW,4.0,,1.0,CP-BLACK-BEAR-BOULDER-KAIPAROWITS-EITHER-SEX-MULTISEASON,active_only,bear|boulder kaiparowits|alw,Bear
bear|chalk creek east canyon morgan south rich|alw,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,ALW,1.0,,1.0,CP-BLACK-BEAR-CHALK-CREEK-EAST-CANYON-MORGAN-SOUTH-RICH-EITHER-SEX-MULTISEASON,active_only,bear|chalk creek east canyon morgan south rich|alw,Bear
bear|diamond mountain vernal bonanza|alw,Black Bear,Diamond Mtn/Vernal/Bonanza,ALW,2.0,,2.0,CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON;CP-BLACK-BEAR-DIAMOND-MTN-VERNAL-BONANZA-EITHER-SEX-MULTISEASON,active_only,bear|diamond mountain vernal bonanza|alw,Bear
