source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,selected_hunt_code,possible_hunt_codes,match_method,match_confidence,match_notes,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_count_2025,permit_count_2026,permit_count_2027,permit_year_instances_2025_2027,interpretation
1,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
2,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
3,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
4,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,800.0,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2041,EA2041,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
5,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SCI,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
6,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
7,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
8,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,2279.17,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1270,EA1270,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
9,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
10,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,UAA,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
11,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
12,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,800.0,WCF,1.0,2025-27 Conservation Permits.xlsx,EA1180,EA1180,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
13,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
14,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,MDF,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
15,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
16,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,2108.33,SFW,1.0,2025-27 Conservation Permits.xlsx,EA1271,EA1271,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=70.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
17,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,RMEF,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
18,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,MDF,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
19,conservation,2025-2027,2026,Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,2237.5,SFW,1.0,2025-27 Conservation Permits.xlsx,EA2045,EA2045,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=74.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
