target_model_year,reported_hunt_year,hunt_code,species,hunt_family,hunt_names,target_harvest_sum,target_permits_sum,exact_code_history_years,name_family_match_years,crosswalk_candidates,best_match_method,status_bucket,reason_code,recommended_model_behavior,data_quality_grade,source_labels
2026,2025,DB0008,Deer,Deer,Deer Extended Archery Only,288.0,1904.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1009,Deer,Deer,Henry Mtns,11.0,11.0,,2021|2022,2021:DB1000:Henry Mtns; 2021:DB1003:Henry Mtns; 2021:DB1005:Henry Mtns; 2021:DB1007:Henry Mtns; 2022:DB1000:Henry Mtns; 2022:DB1003:Henry Mtns; 2022:DB1005:Henry Mtns; 2022:DB1007:Henry Mtns,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1106,Deer,Deer,Thousand Lakes,3.0,20.0,,2024,2024:DB1036:Thousand Lakes; 2024:DB1520:Thousand Lakes; 2024:DB1550:Thousand Lakes; 2024:DB1580:Thousand Lakes; 2024:DB1789:Thousand Lakes,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1107,Deer,Deer,Thousand Lakes,5.0,20.0,,2024,2024:DB1036:Thousand Lakes; 2024:DB1520:Thousand Lakes; 2024:DB1550:Thousand Lakes; 2024:DB1580:Thousand Lakes; 2024:DB1789:Thousand Lakes,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1108,Deer,Deer,Thousand Lakes,12.0,22.0,,2024,2024:DB1036:Thousand Lakes; 2024:DB1520:Thousand Lakes; 2024:DB1550:Thousand Lakes; 2024:DB1580:Thousand Lakes; 2024:DB1789:Thousand Lakes,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1109,Deer,Deer,Thousand Lakes,2.0,2.0,,2024,2024:DB1036:Thousand Lakes; 2024:DB1520:Thousand Lakes; 2024:DB1550:Thousand Lakes; 2024:DB1580:Thousand Lakes; 2024:DB1789:Thousand Lakes,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1110,Deer,Deer,"Beaver, East",4.0,10.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1111,Deer,Deer,"Beaver, West",5.0,5.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1112,Deer,Deer,"West Desert, Swasey",1.0,4.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1113,Deer,Deer,Oquirrh/Tintic,11.0,12.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1114,Deer,Deer,Cedar/Stansbury,2.0,6.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1115,Deer,Deer,"Henry Mtns, Little Rockies",2.0,5.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1116,Deer,Deer,"San Juan, Mancos Mesa",2.0,4.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1119,Deer,Deer,Moab Valley,4.0,9.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1120,Deer,Deer,Castle Valley,12.0,15.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1611,Deer,Deer,"Beaver, East",76.0,296.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1612,Deer,Deer,"Beaver, East",93.0,307.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1613,Deer,Deer,"Beaver, East",494.0,1059.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1614,Deer,Deer,"Beaver, West",24.0,91.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1615,Deer,Deer,"Beaver, West",31.0,89.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1616,Deer,Deer,"Beaver, West",143.0,286.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1617,Deer,Deer,"West Desert, Swasey",21.0,68.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1618,Deer,Deer,"West Desert, Swasey",12.0,65.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1619,Deer,Deer,"West Desert, Swasey",44.0,228.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1620,Deer,Deer,Oquirrh/Tintic,84.0,372.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1621,Deer,Deer,Oquirrh/Tintic,114.0,385.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1622,Deer,Deer,Oquirrh/Tintic,598.0,1412.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1623,Deer,Deer,Cedar/Stansbury,40.0,181.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1624,Deer,Deer,Cedar/Stansbury,39.0,190.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1625,Deer,Deer,Cedar/Stansbury,207.0,621.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1627,Deer,Deer,Cache,669.0,2723.0,,2021|2022|2023|2024,2021:DB1078:Cache; 2021:DB1502:Cache; 2021:DB1532:Cache; 2021:DB1562:Cache; 2021:DB1771:Cache; 2022:DB1078:Cache; 2023:DB1078:Cache; 2024:DB1078:Cache; 2024:DB1502:Cache; 2024:DB1532:Cache; 2024:DB1562:Cache; 2024:DB1771:Cache,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1628,Deer,Deer,Cache,111.0,548.0,,2021|2022|2023|2024,2021:DB1078:Cache; 2021:DB1502:Cache; 2021:DB1532:Cache; 2021:DB1562:Cache; 2021:DB1771:Cache; 2022:DB1078:Cache; 2023:DB1078:Cache; 2024:DB1078:Cache; 2024:DB1502:Cache; 2024:DB1532:Cache; 2024:DB1562:Cache; 2024:DB1771:Cache,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1629,Deer,Deer,Boulder/Kaiparowits,458.0,1226.0,,2024,2024:DB1084:Boulder/Kaiparowits; 2024:DB1518:Boulder/Kaiparowits; 2024:DB1548:Boulder/Kaiparowits; 2024:DB1578:Boulder/Kaiparowits; 2024:DB1787:Boulder/Kaiparowits,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1630,Deer,Deer,Boulder/Kaiparowits,114.0,395.0,,2024,2024:DB1084:Boulder/Kaiparowits; 2024:DB1518:Boulder/Kaiparowits; 2024:DB1548:Boulder/Kaiparowits; 2024:DB1578:Boulder/Kaiparowits; 2024:DB1787:Boulder/Kaiparowits,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1631,Deer,Deer,Box Elder,222.0,963.0,,2021|2022|2023|2024,2021:DB1077:Box Elder; 2021:DB1501:Box Elder; 2021:DB1531:Box Elder; 2021:DB1561:Box Elder; 2021:DB1770:Box Elder; 2022:DB1077:Box Elder; 2023:DB1077:Box Elder; 2024:DB1077:Box Elder; 2024:DB1501:Box Elder; 2024:DB1531:Box Elder; 2024:DB1561:Box Elder; 2024:DB1770:Box Elder,normalized_hunt_name_family,ACTIVE_2026_WITH_NAME_MATCH_HISTORY,POSSIBLE_RENAME_OR_SPLIT_MERGE,Use matched name/family history with review; do not assume exact continuity until confirmed.,C,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1802,Deer,Deer,"Beaver, East",76.0,245.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
2026,2025,DB1803,Deer,Deer,"Beaver, West",15.0,54.0,,,,none,NO_PRIOR_HISTORY_FOUND_IN_AVAILABLE_HARVEST_DB,NEW_OR_UNMATCHED_2026_MODEL_TARGET_CODE,Use species/family fallback or parent unit crosswalk; send to manual review before asserting trend.,D,2025_for_2026_preliminary_hunt_code_keyed
