package_id,canonical_zip,duplicate_zip_paths,sha256,reported_hunt_year,model_target_year,truth_extract_dir,model_extract_dir,extracted_files,csv_files,sqlite_files,pdf_files,pdf_reextraction_performed
2026_for_2026_conservation_overlay_truth_2026_species_corrected,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\conservation_overlay_truth_2026_species_corrected.zip,,ab0b45ad87143cb054b7201c15703da1fa13f9527dcdacc5cf2cf2c436f285e5,2026,2026,data_truth\harvest_results_truth\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected,data_model\harvest_quality\raw_packages\2026_for_2026_conservation_overlay_truth_2026_species_corrected,10,7,1,0,NO
unknown_for_unknown_expo_hunt_code_reconciliation_user_corrected,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\expo_hunt_code_reconciliation_user_corrected.zip,,796c3d882f791549a516b09fa4dfd7922fab6bdcf4579fa1d86780b18d5fa6b2,,,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_expo_hunt_code_reconciliation_user_corrected,data_model\harvest_quality\raw_packages\unknown_for_unknown_expo_hunt_code_reconciliation_user_corrected,7,5,0,0,NO
unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\full_joined_harvest_backcheck_conservation_annual_per_row_corrected.zip,,f199ea20404562baafe5e36853dcc67f3f800ca05791472575bec9e014bded85,,,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected,data_model\harvest_quality\raw_packages\unknown_for_unknown_full_joined_harvest_backcheck_conservation_annual_per_row_corrected,13,10,0,0,NO
2021_for_2022_harvest_results_2021_for_2022_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,,0e7a04ffa60f2773508f168ec469eeb0e7f1f41f77e6be292068ec11260a9518,2021,2022,data_truth\harvest_results_truth\raw_packages\2021_for_2022_harvest_results_2021_for_2022_database,data_model\harvest_quality\raw_packages\2021_for_2022_harvest_results_2021_for_2022_database,18,15,1,0,NO
2022_for_2023_harvest_results_2022_for_2023_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,,f71fb23a127652b3aed7d058bcc445282d7362329bde99eff464c66985f3d9d0,2022,2023,data_truth\harvest_results_truth\raw_packages\2022_for_2023_harvest_results_2022_for_2023_database,data_model\harvest_quality\raw_packages\2022_for_2023_harvest_results_2022_for_2023_database,11,8,1,0,NO
2023_for_2024_harvest_results_2023_all_species_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2023_all_species_database.zip,,199d04c0194391e96aeaca66104e1a204415364b6192b6ce54aea4a8eb60fb0e,2023,2024,data_truth\harvest_results_truth\raw_packages\2023_for_2024_harvest_results_2023_all_species_database,data_model\harvest_quality\raw_packages\2023_for_2024_harvest_results_2023_all_species_database,18,15,1,0,NO
2024_for_2025_harvest_results_2024_for_2025_black_bear_supplement,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_black_bear_supplement.zip,,7abc2efbada2d0ae432ccf78d735e9f6007790fd250edd73f4e309a91b35a98a,2024,2025,data_truth\harvest_results_truth\raw_packages\2024_for_2025_harvest_results_2024_for_2025_black_bear_supplement,data_model\harvest_quality\raw_packages\2024_for_2025_harvest_results_2024_for_2025_black_bear_supplement,17,14,1,0,NO
2024_for_2025_harvest_results_2024_for_2025_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_database.zip,,296054c47069bc2f897af98d8d48e89421fba329d6e095b99ff54b7b005638b4,2024,2025,data_truth\harvest_results_truth\raw_packages\2024_for_2025_harvest_results_2024_for_2025_database,data_model\harvest_quality\raw_packages\2024_for_2025_harvest_results_2024_for_2025_database,20,17,1,0,NO
2024_for_2025_harvest_results_2024_for_2025_elk_age_supplement,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_elk_age_supplement.zip,,7867fbd2278f3009f66b596c00283139b5159e997dd58577eb883ebe931900ab,2024,2025,data_truth\harvest_results_truth\raw_packages\2024_for_2025_harvest_results_2024_for_2025_elk_age_supplement,data_model\harvest_quality\raw_packages\2024_for_2025_harvest_results_2024_for_2025_elk_age_supplement,8,5,1,0,NO
2024_for_2025_harvest_results_2024_for_2025_extra_oil_supplement,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,,993ab3d452b380576e483c7befce77649928f86f8484259376b285c2b824b28e,2024,2025,data_truth\harvest_results_truth\raw_packages\2024_for_2025_harvest_results_2024_for_2025_extra_oil_supplement,data_model\harvest_quality\raw_packages\2024_for_2025_harvest_results_2024_for_2025_extra_oil_supplement,15,12,1,0,NO
2025_for_2026_harvest_results_2025_for_2026_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,,0cb91d01faec5555798fe020402180adca85a264ccfeb1e0b6d882df00b3f5d7,2025,2026,data_truth\harvest_results_truth\raw_packages\2025_for_2026_harvest_results_2025_for_2026_database,data_model\harvest_quality\raw_packages\2025_for_2026_harvest_results_2025_for_2026_database,16,13,1,0,NO
unknown_for_unknown_hunt_code_year_backcheck_outputs,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\hunt_code_year_backcheck_outputs.zip,,fa37eaa8741e453c3177523ee8154fe4873245333ff9170a553a9af1988d6cdb,,,data_truth\harvest_results_truth\raw_packages\unknown_for_unknown_hunt_code_year_backcheck_outputs,data_model\harvest_quality\raw_packages\unknown_for_unknown_hunt_code_year_backcheck_outputs,9,7,0,0,NO
2024_for_2025_turkey_harvest_results_2023_24_for_2025_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2023_24_for_2025_database.zip,,237764be4747a5911ba22acc08799509cbdd207d4f9ba327812aa014d73503f6,2024,2025,data_truth\harvest_results_truth\raw_packages\2024_for_2025_turkey_harvest_results_2023_24_for_2025_database,data_model\harvest_quality\raw_packages\2024_for_2025_turkey_harvest_results_2023_24_for_2025_database,7,4,1,0,NO
2025_for_2026_turkey_harvest_results_2024_25_for_2026_database,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,,3e7775a814b7bc8cb0e33c37918a50ab27e850e1f86270ca4ee36a4dece71d74,2025,2026,data_truth\harvest_results_truth\raw_packages\2025_for_2026_turkey_harvest_results_2024_25_for_2026_database,data_model\harvest_quality\raw_packages\2025_for_2026_turkey_harvest_results_2024_25_for_2026_database,14,11,1,0,NO
