hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,database_sex_type,species,weapon,database_weapon,hunt_type,database_hunt_type,season,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
Book Cliffs,DB1011,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1011,7,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,55,6,61,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Fillmore, Oak Creek LE",DB1012,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1012,85,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,12,1,13,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Dolores Triangle,DB1013,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1013,108,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Oct 31 2026 - Nov 13 2026,Oct 31 2026 - Nov 13 2026,5,0,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"San Juan, Elk Ridge",DB1014,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1014,185,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,15,2,17,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Diamond Mtn,DB1015,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1015,206,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,22,2,24,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"West Desert, Vernon",DB1016,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1016,248,Buck,Buck,Deer,Archery,Archery,Limited Entry,Limited Entry,Aug 15 2026 - Sept 11 2026,Aug 15 2026 - Sept 11 2026,46,5,51,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Book Cliffs, North",DB1017,714,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1017,714,Buck,Buck,Deer,Any Legal Weapon,Any Legal Weapon,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,Oct 17 2026 - Oct 25 2026,137,15,152,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Book Cliffs, South",DB1018,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1018,15,Buck,Buck,Deer,Any Legal Weapon,Any Legal Weapon,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,Oct 17 2026 - Oct 25 2026,34,4,38,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Fillmore, Oak Creek LE",DB1019,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1019,85,Buck,Buck,Deer,Any Legal Weapon,Any Legal Weapon,Limited Entry,Limited Entry,Oct 17 2026 - Oct 25 2026,Oct 17 2026 - Oct 25 2026,33,4,37,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Dolores Triangle,DB1020,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1020,108,Buck,Buck,Deer,Any Legal Weapon,Any Legal Weapon,Limited Entry,Limited Entry,Nov 14 2026 - Nov 22 2026,Nov 14 2026 - Nov 22 2026,13,2,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
