hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,database_sex_type,species,weapon,hunt_type,season,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
Rocky Mountain Bighorn Sheep - Statewide Permit,RS0001,5135,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS0001,5135,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026","Sept 1 - Dec 31, 2026",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row; permit count carried from canonical DATABASE.csv when populated. Permit split populated from canonical DATABASE.csv because source row did not carry a count.
Antelope Island Conservation,RS1000,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1000,1,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Nov 9 2026 - Nov 16 2026,Nov 9 2026 - Nov 16 2026,,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row; no split permit count provided in prompt.
"Book Cliffs, South",RS1001,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1001,15,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025","Nov 1 - Dec 31, 2025",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated. Permit split populated from canonical DATABASE.csv because source row did not carry a count.
"Box Elder, Newfoundland Mtn",RS1003,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1003,20,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Oct 25 - Dec 31, 2025","Oct 25 - Dec 31, 2025",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated. Permit split populated from canonical DATABASE.csv because source row did not carry a count.
"Nine Mile, Gray Canyon",RS1006,821,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS1006,821,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025","Nov 1 - Dec 31, 2025",1,0,1,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner conservation row; permit count carried from canonical DATABASE.csv when populated. Permit split populated from canonical DATABASE.csv because source row did not carry a count.
Antelope Island,RS6700,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6700,1,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Nov 11, 2026 - Nov 18, 2026","Nov 09, 2026 - Nov 16, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row.
"Book Cliffs, South",RS6701,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6701,15,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 31 2026 - Nov 30 2026,Oct 31 2026 - Nov 30 2026,5,1,6,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row.
"Box Elder, Newfoundland Mtn",RS6703,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6703,20,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 23 2026,Oct 03 2026 - Oct 23 2026,4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row.
"Box Elder, Newfoundland Mtn",RS6704,20,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6704,20,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Nov 13 2026,Oct 24 2026 - Nov 13 2026,3,1,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row.
"North Slope, Three Corners",RS6708,140,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,RS6708,140,Ram,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2026 - Nov 30 2026,Sept 14 2026 - Nov 30 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 rocky mountain bighorn user verified.csv,474ccf0ac90b62244d428c0a5d9d7b3acf935a11f7cd64460f180e60c9b1c147,User-provided current Utah DWR Hunt Planner row.
