source_file,check_id,guidebook_page,match_type,expected_text,status,matched_pdf_page_number,matched_printed_page,matched_line_number_on_pdf_page,matched_line_text,source_note
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,revision_label,,contains,REVISED MAY 2023,PASS,1,,1,REVISED MAY 2023,user pasted cover/revision label
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,contents_keep_license,2,contains,4 Keep your license on your,PASS,2,2,10,Turn in a poacher 4 Keep your license on your,user pasted contents
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,contents_hunt_tables,2,contains,42 Hunt tables,PASS,2,2,12,Text: 847411 5 Antlerless big game hunting,user pasted contents
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,contents_definitions,2,contains,78 Definitions,PASS,2,2,59,78 Definitions,user pasted contents
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,utip_phone,2,contains,Phone: 1-800-662-3337,PASS,2,2,11,Phone: 1-800-662-3337 phone or tablet,user pasted contact block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,title_2023_application_guidebook,3,contains,This guidebook-along with the 2023,PASS,3,3,9,This guidebook-along with the 2023,user pasted laws block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,apply_window,3,contains,2023 big game hunts from March 23 to April,PASS,3,3,6,2023,user pasted what's-new block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,drawing_results_date,3,contains,"will be available on May 31, 2023",PASS,3,3,13,"will be available on May 31, 2023. For addi- rules and laws that regulate big game hunting",user pasted what's-new block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,elk_split,3,contains,elk any legal weapon any bull hunt is,PASS,3,3,48,legal weapon hunts: The Utah Wildlife employees.,user pasted elk split block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,antlerless_application_period,4,contains,"period runs from June 7-22, 2023",PASS,4,4,11,"elk hunt. Spike bull elk permits will continue period runs from June 7-22, 2023.",user pasted antlerless block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,late_archery_elk,4,contains,"Dec. 2-17, 2023",PASS,4,4,46,"Dec. 2-17, 2023. See the hunt table on page",user pasted late-season elk block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,antlerless_hunting,5,contains,Antlerless big game,PASS,5,5,28,Antlerless big game,user pasted antlerless box
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,disabled_veterans,6,contains,Discounted licenses,PASS,6,6,10,hunters must report hunt information within Discounted licenses,user pasted disabled veterans block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,general_archery_deer,7,contains,General archery deer Aug. 19-Sept. 15,PASS,7,7,9,General-season dates,user pasted season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,general_muzzleloader_elk,7,contains,General muzzleloader,PASS,7,7,9,General-season dates,user pasted season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,extended_archery,8,contains,Extended archery,PASS,8,8,10,Extended archery,user pasted extended archery block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,sportsman_permits_2024,9,contains,2024 sportsman,PASS,9,9,10,2024 sportsman,user pasted sportsman block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,sales_dates,10,contains,General-season any bull elk,PASS,10,10,21,"General-season archery elk July 11, 2023 waive the required combination or hunt-",user pasted sales dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,trail_camera_regulations,11,contains,CHANGES TO TRAIL CAMERA,PASS,11,11,8,CHANGES TO TRAIL CAMERA,user pasted trail camera block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,cwmu_season_dates,12,contains,CWMU season dates,PASS,12,12,10,CWMU season dates opening day of the season listed on your permit,user pasted CWMU dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,shed_antlers,13,contains,Gathering shed,PASS,13,13,9,Gathering shed Season dates,user pasted shed antlers block
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,permit_numbers,13,contains,"15,000 general-season permits",PASS,13,13,51,"15,000 general-season permits for the early season any-legal-weapon any bull hunt",user pasted permit numbers
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,resident_license_fees,14,contains,Resident license fees,PASS,14,14,11,Resident license fees Nonresident license fees,user pasted fees
