source_file,pdf_page_number,printed_page,line_number_on_pdf_page,token_type,token,line_text
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,1,,1,number_or_money,2023,REVISED MAY 2023
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,1,number_or_money,2,2
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,2,number_or_money,3202,3202
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,10,number_or_money,4,Turn in a poacher 4 Keep your license on your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,code_citation,800-662-3337,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,number_or_money,1,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,number_or_money,800,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,number_or_money,662,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,11,number_or_money,3337,Phone: 1-800-662-3337 phone or tablet
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,12,number_or_money,847411,Text: 847411 5 Antlerless big game hunting
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,12,number_or_money,5,Text: 847411 5 Antlerless big game hunting
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,13,number_or_money,7,Online: wildlife.utah.gov/utip 7 2023 season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,13,number_or_money,2023,Online: wildlife.utah.gov/utip 7 2023 season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,14,number_or_money,9,9 2024 sportsman permits
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_biggameapp.pdf,2,2,14,number_or_money,2024,9 2024 sportsman permits
