source_file,pdf_page_number,printed_page,line_number_on_pdf_page,token_type,token,line_text
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,1,number_or_money,2,2
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,2,number_or_money,3202,3202
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,10,number_or_money,7,Turn in a poacher 7 2023 season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,10,number_or_money,2023,Turn in a poacher 7 2023 season dates
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,11,code_citation,800-662-3337,Phone: 800-662-3337 8 License fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,11,number_or_money,800,Phone: 800-662-3337 8 License fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,11,number_or_money,662,Phone: 800-662-3337 8 License fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,11,number_or_money,3337,Phone: 800-662-3337 8 License fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,11,number_or_money,8,Phone: 800-662-3337 8 License fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,12,number_or_money,847411,Text: 847411 9 Permit fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,12,number_or_money,9,Text: 847411 9 Permit fees
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,14,number_or_money,10,10 Discounted licenses for
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,17,number_or_money,11,11 Basic requirements
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,18,number_or_money,8,"Offices are open 8 a.m.-5 p.m.,"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,18,number_or_money,5,"Offices are open 8 a.m.-5 p.m.,"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,19,number_or_money,11,Monday through Friday. 11 Utah's Trial Hunting Program
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,20,number_or_money,12,12 Keep your license on your phone
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,22,number_or_money,14,14 Apply for an antlerless permit
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,23,number_or_money,1594,1594 W North Temple
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,24,number_or_money,15,15 When permits go on sale
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,25,number_or_money,146301,Box 146301
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,26,number_or_money,84114,"Salt Lake City, UT 84114-6301 16 Multiple elk permits"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,26,number_or_money,6301,"Salt Lake City, UT 84114-6301 16 Multiple elk permits"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,26,number_or_money,16,"Salt Lake City, UT 84114-6301 16 Multiple elk permits"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,27,code_citation,801-538-4700,801-538-4700 17 Definition of youth
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,27,number_or_money,801,801-538-4700 17 Definition of youth
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,27,number_or_money,538,801-538-4700 17 Definition of youth
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,27,number_or_money,4700,801-538-4700 17 Definition of youth
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,27,number_or_money,17,801-538-4700 17 Definition of youth
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,28,number_or_money,19,19 Opportunities for young hunters
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,30,number_or_money,20,20 Chronic wasting disease
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,31,number_or_money,1115,1115 N Main Street
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,32,number_or_money,84663,"Springville, UT 84663 21 Changes to trail camera rules"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,32,number_or_money,21,"Springville, UT 84663 21 Changes to trail camera rules"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,33,code_citation,801-491-5678,801-491-5678 22 Big game hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,33,number_or_money,801,801-491-5678 22 Big game hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,33,number_or_money,491,801-491-5678 22 Big game hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,33,number_or_money,5678,801-491-5678 22 Big game hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,33,number_or_money,22,801-491-5678 22 Big game hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,34,number_or_money,23,23 Mandatory reporting
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,36,number_or_money,30,30 Avoid harvesting collared wildlife
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,37,number_or_money,318,318 N Vernal Avenue
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,38,number_or_money,84078,"Vernal, UT 84078 33 Once-in-a-lifetime hunts"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,38,number_or_money,33,"Vernal, UT 84078 33 Once-in-a-lifetime hunts"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,39,code_citation,435-781-9453,435-781-9453 34 Mandatory reporting of your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,39,number_or_money,435,435-781-9453 34 Mandatory reporting of your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,39,number_or_money,781,435-781-9453 34 Mandatory reporting of your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,39,number_or_money,9453,435-781-9453 34 Mandatory reporting of your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,39,number_or_money,34,435-781-9453 34 Mandatory reporting of your
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,42,number_or_money,37,37 Antlerless hunts
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,43,number_or_money,515,515 E 5300 S
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,43,number_or_money,5300,515 E 5300 S
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,44,number_or_money,39,39 Hunter Mentoring program
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,45,number_or_money,84405,"Ogden, UT 84405"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,46,code_citation,801-476-2740,"801-476-2740 41 Permit surrenders, refunds and"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,46,number_or_money,801,"801-476-2740 41 Permit surrenders, refunds and"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,46,number_or_money,476,"801-476-2740 41 Permit surrenders, refunds and"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,46,number_or_money,2740,"801-476-2740 41 Permit surrenders, refunds and"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,46,number_or_money,41,"801-476-2740 41 Permit surrenders, refunds and"
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,49,number_or_money,43,43 Hunting on CWMUs
pipeline/RAW/hunt_unit_database/2023/pdf/regulation/2023_field_regs.pdf,2,2,50,number_or_money,319,"319 N Carbonville Road, Ste A"
