hunt_code,species,hunt_name,hunt_type,weapon,sex_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,year,prediction_year,source_file
BI0001,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,7,7.0,7.0,100.0,1.0,4.8,2025,2026,harvest_2025.csv
BI1000,Bison,Bison - Statewide Permit,Sportsman,Any Legal Weapon,Hunter's Choice,2,2.0,2.0,100.0,1.0,5.0,2025,2026,harvest_2025.csv
BI6500,Bison,Antelope Island,OIAL,Any Legal Weapon,Hunter's Choice,2,2.0,2.0,100.0,1.0,5.0,2025,2026,harvest_2025.csv
BI6503,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,15,15.0,14.0,93.3,2.4,4.6,2025,2026,harvest_2025.csv
BI6504,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,13,13.0,13.0,100.0,4.5,4.2,2025,2026,harvest_2025.csv
BI6505,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,28,28.0,22.0,78.6,4.0,4.0,2025,2026,harvest_2025.csv
BI6506,Bison,Henry Mtns,OIAL,Any Legal Weapon,Female Only,29,29.0,27.0,93.1,5.5,4.3,2025,2026,harvest_2025.csv
BI6509,Bison,Henry Mtns,OIAL,Archery,Hunter's Choice,3,3.0,2.0,66.7,7.0,4.3,2025,2026,harvest_2025.csv
BI6516,Bison,Henry Mtns,OIAL,Any Legal Weapon,Hunter's Choice,13,13.0,13.0,100.0,3.5,4.5,2025,2026,harvest_2025.csv
BI6527,Bison,Nine Mile,OIAL,Any Legal Weapon,Hunter's Choice,18,15.0,0.0,0.0,9.0,3.6,2025,2026,harvest_2025.csv
BI6528,Bison,"Book Cliffs, Little Creek/South",OIAL,Archery,Hunter's Choice,5,5.0,5.0,100.0,2.0,5.0,2025,2026,harvest_2025.csv
BI6529,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Female Only,5,5.0,4.0,80.0,1.8,4.8,2025,2026,harvest_2025.csv
BI6531,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,8,7.0,6.0,85.7,3.7,3.7,2025,2026,harvest_2025.csv
BI6532,Bison,"Book Cliffs, Bitter Creek",OIAL,Archery,Hunter's Choice,4,3.0,3.0,100.0,2.0,5.0,2025,2026,harvest_2025.csv
BI6534,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,5,4.0,4.0,100.0,2.5,3.8,2025,2026,harvest_2025.csv
BI6535,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Hunter's Choice,5,5.0,5.0,100.0,4.2,4.4,2025,2026,harvest_2025.csv
BI6536,Bison,"Book Cliffs, Bitter Creek",OIAL,Any Legal Weapon,Female Only,3,3.0,2.0,66.7,4.3,4.7,2025,2026,harvest_2025.csv
BI6537,Bison,"Book Cliffs, Little Creek/South",OIAL,Any Legal Weapon,Hunter's Choice,11,11.0,10.0,90.9,3.7,4.6,2025,2026,harvest_2025.csv
DA1001,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,29,22.0,5.0,22.7,4.4,3.0,2025,2026,harvest_2025.csv
DA1002,Deer,"Box Elder, West Bear River",Antlerless,Any Legal Weapon,Female Only,29,17.0,3.0,17.6,2.4,2.8,2025,2026,harvest_2025.csv
DA1003,Deer,"Monroe/Plateau, Sevier Valley",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,14,7.0,1.0,14.3,2.7,3.8,2025,2026,harvest_2025.csv
DA1009,Deer,"Pine Valley, Enterprise",Antlerless,Any Legal Weapon,Female Only,25,23.0,23.0,100.0,1.6,4.6,2025,2026,harvest_2025.csv
DA1011,Deer,George Creek,CWMU Antlerless,Any Legal Weapon,Female Only,5,5.0,4.0,80.0,1.4,4.6,2025,2026,harvest_2025.csv
DA1012,Deer,Junction Valley,CWMU Antlerless,Any Legal Weapon,Female Only,15,14.0,14.0,100.0,1.8,5.0,2025,2026,harvest_2025.csv
DA1013,Deer,Mt Carmel,CWMU Antlerless,Any Legal Weapon,Female Only,5,4.0,3.0,75.0,2.0,4.8,2025,2026,harvest_2025.csv
DA1018,Deer,"Pine Valley, New Harmony",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,18,15.0,8.0,53.3,5.1,3.4,2025,2026,harvest_2025.csv
DA1027,Deer,"East Canyon, Davis-North Salt Lake",Antlerless,Any Legal Weapon,Female Only,30,27.0,19.0,70.4,2.7,4.2,2025,2026,harvest_2025.csv
DA1030,Deer,"Nine Mile, Price River Valley",Antlerless,Archery,Female Only,24,14.0,2.0,14.3,3.8,2.8,2025,2026,harvest_2025.csv
DA1031,Deer,"Oquirrh-Stansbury, Settlement Cyn",Antlerless,Archery,Female Only,20,15.0,11.0,73.3,4.7,3.5,2025,2026,harvest_2025.csv
DA1033,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,5,5.0,4.0,80.0,1.8,4.6,2025,2026,harvest_2025.csv
DA1041,Deer,"Nine Mile, Green River Valley",Antlerless,Any Legal Weapon,Female Only,15,10.0,6.0,60.0,2.3,3.8,2025,2026,harvest_2025.csv
DA1042,Deer,"San Juan, Monticello",Antlerless,Archery,Female Only,5,4.0,4.0,100.0,1.7,4.0,2025,2026,harvest_2025.csv
DA1045,Deer,"Fillmore, Oak City",Antlerless,Archery,Female Only,18,12.0,5.0,41.7,4.2,3.8,2025,2026,harvest_2025.csv
DA1046,Deer,"Nine Mile, Price River Valley",Antlerless,"Archery, Muzzleloader, Shotgun",Female Only,25,20.0,10.0,50.0,5.2,3.0,2025,2026,harvest_2025.csv
DA1047,Deer,Vernal-Ouray Valley,Antlerless,Any Legal Weapon,Female Only,23,15.0,4.0,26.7,3.5,1.6,2025,2026,harvest_2025.csv
DA1048,Deer,Fillmore City,Antlerless,Archery,Female Only,14,8.0,2.0,25.0,4.7,2.4,2025,2026,harvest_2025.csv
DA1049,Deer,"Vernal, Ashley Valley",Antlerless,Archery,Female Only,35,27.0,9.0,33.3,6.1,3.2,2025,2026,harvest_2025.csv
DA1050,Deer,The Rose of Snowville,CWMU Antlerless,Any Legal Weapon,Female Only,10,8.0,6.0,75.0,1.0,4.0,2025,2026,harvest_2025.csv
DB0007,Deer,Buck Deer - Statewide Permit,Sportsman,Any Legal Weapon,Male Only,2,2.0,2.0,100.0,8.5,5.0,2025,2026,harvest_2025.csv
DB0008,Deer,Deer Extended Archery Only,General Season,Extended Archery,Hunter's Choice,1904,1352.0,288.0,21.3,9.5,3.3,2025,2026,harvest_2025.csv
DB0009,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Male Only,1,1.0,1.0,100.0,2.0,4.0,2025,2026,harvest_2025.csv
DB1000,Deer,Henry Mtns,Premium Limited Entry,Archery,Male Only,9,9.0,9.0,100.0,10.3,4.1,2025,2026,harvest_2025.csv
DB1001,Deer,Paunsaugunt,Premium Limited Entry,Archery,Male Only,34,34.0,23.0,67.6,12.1,3.8,2025,2026,harvest_2025.csv
DB1002,Deer,Antelope Island,Premium Limited Entry,Any Legal Weapon,Male Only,1,1.0,1.0,100.0,1.0,5.0,2025,2026,harvest_2025.csv
DB1003,Deer,Henry Mtns,Premium Limited Entry,Any Legal Weapon,Male Only,27,26.0,26.0,100.0,3.5,3.6,2025,2026,harvest_2025.csv
