hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status
Book Cliffs,DB1011,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1011,7,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,FULL_SPLIT
"Fillmore, Oak Creek LE",DB1012,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1012,85,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,12,1,13,FULL_SPLIT
Dolores Triangle,DB1013,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1013,108,Buck,Deer,Archery,Limited Entry,Oct 31 2026 - Nov 13 2026,5,0,5,FULL_SPLIT
"San Juan, Elk Ridge",DB1014,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1014,185,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,15,2,17,FULL_SPLIT
Diamond Mtn,DB1015,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1015,206,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,22,2,24,FULL_SPLIT
"West Desert, Vernon",DB1016,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1016,248,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,FULL_SPLIT
"Book Cliffs, North",DB1017,714,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1017,714,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,137,15,152,FULL_SPLIT
"Book Cliffs, South",DB1018,15,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1018,15,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,34,4,38,FULL_SPLIT
"Fillmore, Oak Creek LE",DB1019,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1019,85,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,33,4,37,FULL_SPLIT
Dolores Triangle,DB1020,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1020,108,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 14 2026 - Nov 22 2026,13,2,15,FULL_SPLIT
"San Juan, Elk Ridge",DB1022,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1022,185,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,42,5,47,FULL_SPLIT
Diamond Mtn,DB1023,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1023,206,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,61,7,68,FULL_SPLIT
"West Desert, Vernon",DB1024,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1024,248,Buck,Deer,Any Legal Weapon,Limited Entry,Oct 17 2026 - Oct 25 2026,130,14,144,FULL_SPLIT
Book Cliffs,DB1025,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1025,7,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,FULL_SPLIT
"Cache, Crawford Mtn",DB1026,32,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1026,32,Buck,Deer,Muzzleloader,Limited Entry,Nov 07 2026 - Nov 22 2026,8,1,9,FULL_SPLIT
Fillmore,DB1028,804,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1028,804,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,11,1,12,FULL_SPLIT
"Fillmore, Oak Creek LE",DB1029,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1029,85,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,12,1,13,FULL_SPLIT
Kamas,DB1030,611,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1030,611,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT
Dolores Triangle,DB1031,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1031,108,Buck,Deer,Muzzleloader,Limited Entry,Nov 23 2026 - Dec 01 2026,5,0,5,FULL_SPLIT
Monroe,DB1032,629,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1032,629,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,5,1,6,FULL_SPLIT
Nine Mile,DB1033,615,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1033,615,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,FULL_SPLIT
Pine Valley,DB1034,636,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1034,636,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,13,2,15,FULL_SPLIT
"San Juan, Elk Ridge",DB1037,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1037,185,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,15,2,17,FULL_SPLIT
Diamond Mtn,DB1038,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1038,206,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,22,2,24,FULL_SPLIT
Yellowstone,DB1039,613,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1039,613,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,6,1,7,FULL_SPLIT
Southwest Desert,DB1040,625,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1040,625,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT
"Wasatch Mtns, East",DB1041,621,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1041,621,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,30,3,33,FULL_SPLIT
"West Desert, Vernon",DB1042,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1042,248,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,46,5,51,FULL_SPLIT
Zion,DB1043,635,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1043,635,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,15,2,17,FULL_SPLIT
Book Cliffs,DB1044,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1044,7,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,FULL_SPLIT
"Fillmore, Oak Creek LE",DB1045,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1045,85,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,FULL_SPLIT
"San Juan, Elk Ridge",DB1046,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1046,185,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,FULL_SPLIT
Diamond Mtn,DB1047,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1047,206,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",4,0,4,FULL_SPLIT
"West Desert, Vernon",DB1048,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1048,248,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",7,1,8,FULL_SPLIT
