hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
"Cache, Rich",EA1010,38,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1010,38,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,18,2,20,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,2
"Cache, Richards Hollow",EA1011,39,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1011,39,Antlerless,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,9,1,10,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,3
"Cache, Richmond Hyde Park",EA1012,40,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1012,40,Antlerless,Elk,Any Legal Weapon,General Season,Aug 01 2025 - Dec 01 2025,4,1,5,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,4
"Manti, Central",EA1013,43,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1013,43,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,5
"Manti, Ferron Canyon",EA1015,45,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1015,45,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,63,7,70,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,6
"Manti, Gordon Creek-Price Canyon",EA1017,47,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1017,47,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,90,10,100,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,7
"Manti, Horn Mtn",EA1018,49,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1018,49,Antlerless,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,54,6,60,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,8
"Manti, Mohrland-Stump Flat",EA1020,55,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1020,55,Antlerless,Elk,Any Legal Weapon,General Season,Nov 27 2025 - Jan 31 2026,108,12,120,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,9
Nebo,EA1021,616,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1021,616,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,207,23,230,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,10
"Manti, North",EA1022,58,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1022,58,Antlerless,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,270,30,300,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,11
