reviewed_family,hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
BISON_COW_ONLY,Henry Mtns,BI6505,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6505,94,Cow Only,Bison,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,8,3,11,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_COW_ONLY_BI_2026,1
BISON_COW_ONLY,Henry Mtns,BI6506,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6506,94,Cow Only,Bison,Any Legal Weapon,Once-in-a-lifetime,"Dec 23, 2026 - Jan 3, 2027",11,0,11,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_COW_ONLY_BI_2026,2
BISON_COW_ONLY,"Book Cliffs, Little Creek/South",BI6529,889,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6529,889,Cow Only,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 17 2026 - Oct 27 2026,8,0,8,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_COW_ONLY_BI_2026,3
BISON_COW_ONLY,"Book Cliffs, Bitter Creek",BI6536,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6536,667,Cow Only,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,15,0,15,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_COW_ONLY_BI_2026,4
BISON_COW_ONLY,Henry Mtns,BI6539,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6539,94,Cow Only,Bison,Any Legal Weapon,Once-in-a-lifetime,"Jan 6 - 17, 2027",11,0,11,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_COW_ONLY_BI_2026,5
BISON_HUNTERS_CHOICE,Bison - Statewide Permit,BI1000,5000,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI1000,5000,Hunters Choice,Bison,Any Legal Weapon,Statewide,"Aug 1, 2026 - Jan 31, 2027",,,1,TOTAL_ONLY,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,1
BISON_HUNTERS_CHOICE,Antelope Island,BI6500,1,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6500,1,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,2
BISON_HUNTERS_CHOICE,Henry Mtns,BI6503,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6503,94,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,3
BISON_HUNTERS_CHOICE,Henry Mtns,BI6504,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6504,94,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,4
BISON_HUNTERS_CHOICE,Henry Mtns,BI6509,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6509,94,Hunters Choice,Bison,Archery,Once-in-a-lifetime,"Jan 18 - 31, 2027",5,0,5,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,5
BISON_HUNTERS_CHOICE,Henry Mtns,BI6516,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6516,94,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Nov 25 2026 - Dec 6 2026,6,0,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,6
BISON_HUNTERS_CHOICE,Nine Mile,BI6527,615,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6527,615,Hunters Choice,Bison,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,7
BISON_HUNTERS_CHOICE,"Book Cliffs, Little Creek/South",BI6528,889,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6528,889,Hunters Choice,Bison,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,8
BISON_HUNTERS_CHOICE,"Book Cliffs, Little Creek/South",BI6531,889,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6531,889,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,10,0,10,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,9
BISON_HUNTERS_CHOICE,"Book Cliffs, Bitter Creek",BI6532,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6532,667,Hunters Choice,Bison,Archery,Once-in-a-lifetime,Aug 15 2026 - Sept 11 2026,6,0,6,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,10
BISON_HUNTERS_CHOICE,"Book Cliffs, Bitter Creek",BI6534,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6534,667,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Sept 20 2026,10,0,10,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,11
BISON_HUNTERS_CHOICE,"Book Cliffs, Bitter Creek",BI6535,667,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BI6535,667,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Oct 03 2026 - Oct 15 2026,8,0,8,FULL_SPLIT,USER_PASTED_DWR_HUNT_PLANNER_BISON_BI_2026,12
