hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Turkey - Statewide Permit,TK0001,454,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK0001,454,Bearded,Turkey,Any Legal Weapon,Statewide,"Apr 1 - May 31, 2026",,,1,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,2
Statewide,TK1000,454,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1000,454,Bearded,Turkey,Any Legal Weapon,Spring General Season,"May 4 - 31, 2026 | YOUTH ONLY: May 1 - 3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,3
Central Area,TK1003,887,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1003,887,Bearded,Turkey,Any Legal Weapon,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",,,600,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,4
Northeastern Area,TK1004,886,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1004,886,Bearded,Turkey,Any Legal Weapon,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",,,347,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,5
Northern Area,TK1005,888,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1005,888,Bearded,Turkey,Any Legal Weapon,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",,,500,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,6
Southeastern Area,TK1006,884,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1006,884,Bearded,Turkey,Any Legal Weapon,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",,,250,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,7
Southern Area,TK1007,885,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1007,885,Bearded,Turkey,Any Legal Weapon,Limited Entry,"April 11 - April 30, 2026 | Youth only : May 1-3, 2026",,,542,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,8
Central Area,TK1012,887,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1012,887,Bearded,Turkey,Any Legal Weapon,Conservation,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,9
Northeastern Area,TK1013,886,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1013,886,Bearded,Turkey,Any Legal Weapon,Conservation,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,10
Northern Area,TK1014,888,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1014,888,Bearded,Turkey,Any Legal Weapon,Conservation,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,11
Southeastern Area,TK1015,884,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1015,884,Bearded,Turkey,Any Legal Weapon,Conservation,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,12
Southern Area,TK1016,885,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1016,885,Bearded,Turkey,Any Legal Weapon,Conservation,"Limited Entry: Apr 11-30, 2026 | General Season: May 4-31, 2026 | YOUTH ONLY: May 1-3, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,2026 TURKEY BEARDED DRAW.xlsx,13
Pahvant Ensign CWMU,TK1018,826,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1018,826,Bearded,Turkey,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,,,6,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,14
East Zion CWMU,TK1021,807,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,TK1021,807,Bearded,Turkey,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,,,4,TOTAL_ONLY,2026 TURKEY BEARDED DRAW.xlsx,15
