general_season_unit,objective_bucks_per_100_does,bucks_2023,bucks_2024,bucks_2025,bucks_3yr_avg,permits_2024,permits_2025,permits_2026,source_document,source_note
"Beaver, East",15-17,21.7,19.5,21.7,21.0,,1900,2200,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
"Beaver, West *",15-17,17.3,22.1,23.0,20.8,,500,650,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Boulder/Kaiparowits *,15-17,30.8,25.2,25.7,27.2,2000,2300,2400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Box Elder,18-20,22.1,19.8,24.7,22.2,4600,4900,5200,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Cache *,15-17,18.8,18.5,25.7,21.0,4100,4900,5800,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Cedar/Stansbury,15-17,19.8,16.4,18.7,18.3,,1150,1250,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Chalk Creek,18-20,24.1,32.4,24.1,26.9,2000,2200,2200,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
East Canyon,18-20,21.9,31.1,30.4,27.8,1700,1900,1900,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Fillmore,15-17,23.9,21.7,20.5,22.0,2100,2200,2300,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Fishlake,15-17,24.3,22.2,20.7,22.4,1100,1250,1300,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Kamas,18-20,23.0,14.5,14.8,17.5,1250,1250,1000,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
La Sal Mtns,15-17,17.4,29.8,22.3,23.2,1400,1700,1800,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Manti/San Rafael,15-17,18.9,19.0,21.5,19.8,8000,8300,9000,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Monroe,15-17,20.8,24.3,22.0,22.4,850,1100,1100,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Morgan-South Rich,18-20,21.3,27.7,30.8,26.6,1400,1600,1600,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Mt Dutton,15-17,22.3,19.5,18.8,20.2,375,400,400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Nebo,15-17,17.4,19.3,17.5,18.1,4500,4950,5300,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Nine Mile,18-20,22.5,20.8,28.2,23.8,1300,1300,1400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
North Slope,15-17,19.7,21.4,17.9,19.6,2300,2900,3100,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Ogden,18-20,20.0,21.4,25.9,22.5,1900,2300,2700,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Oquirrh/Tintic,18-20,27.6,27.0,22.3,25.6,,2450,2250,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Panguitch Lake,15-17,22.6,21.4,20.6,21.5,2100,2300,2500,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Pine Valley,18-20,22.6,23.5,23.2,23.1,3400,3000,3000,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
"San Juan, Abajo Mtns",15-17,17.1,23.0,22.9,21.0,2250,2600,2800,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Southwest Desert,15-17,21.5,24.6,26.7,24.3,475,450,500,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Vernal/Bonanza,15-17,16.1,15.6,22.2,18.0,1000,1200,1400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
"Wasatch Mtns, East",15-17,25.0,21.4,21.6,22.7,5000,6000,6500,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
"Wasatch Mtns, West",15-17,15.3,15.6,17.5,16.1,6275,6500,7900,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
"West Desert, Swasey",15-17,,,,,450,400,400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Yellowstone,18-20,18.6,18.9,18.8,18.8,1100,1300,1400,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Zion,18-20,24.1,22.2,22.3,22.9,3300,3000,3375,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
Extended Archery,,,,,,,2000,2000,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
General Season ALL Units,,21.5,22.5,22.6,22.2,71525,80200,86625,2026-04-rac-packet.pdf,User-provided supplemental permit table for 2026 general season deer units.
