code_prefix,label,dominant_species,dominant_hunt_type,database_code_count,hunt_master_code_count,point_ladder_code_count,draw_reality_code_count,predictive_v2_code_count,missing_hunt_master_count,missing_point_ladder_count,missing_draw_reality_count,missing_predictive_v2_count,extra_hunt_master_not_database_count,extra_point_ladder_not_database_count,extra_draw_reality_not_database_count,extra_predictive_v2_not_database_count,missing_hunt_master_codes,missing_point_ladder_codes,missing_draw_reality_codes,missing_predictive_v2_codes,extra_hunt_master_not_database_codes,extra_point_ladder_not_database_codes,extra_draw_reality_not_database_codes,extra_predictive_v2_not_database_codes,status
LD,Limited Deer Reference,Deer,Limited Entry - Private Land Only,6,6,6,6,0,0,0,0,6,0,0,0,0,,,,LD1001;LD1004;LD1006;LD1019;LD1023;LD1108,,,,,PREDICTIVE_GAP
RS,Rocky Mountain Bighorn Ram,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,20,20,20,20,16,0,0,0,4,0,0,0,0,,,,RS1000;RS1001;RS1003;RS1006,,,,,PREDICTIVE_GAP
BI,Bison,Bison,Once-in-a-lifetime,19,19,19,28,17,0,0,0,2,0,0,9,0,,,,BI6527;BI6538,,,BI6517;BI6519;BI6520;BI6521;BI6523;BI6524;BI6526;BI6530;BI6533,,PREDICTIVE_GAP
CG,Cougar,Cougar,Statewide,1,61,61,11,60,0,0,0,1,60,60,10,60,,,,CG9999,CG0001;CG0002;CG0006;CG0009;CG0015;CG0016;CG1001;CG1002;CG1003;CG1004;CG1005;CG1006;CG1007;CG1008;CG1009;CG1010;CG1011;CG1012;CG1013;CG1014;CG1015;CG1016;CG1017;CG1018;CG1019;CG1020;CG1021;CG1022;CG1023;CG1024;CG1025;CG1026;CG1027;CG1028;CG1029;CG1030;CG1031;CG1032;CG1033;CG1034;CG1035;CG7501;CG7502;CG7504;CG7600;CG7601;CG7602;CG7603;CG7605;CG7606;CG7607;CG7609;CG7610;CG7611;CG7612;CG7613;CG7615;CG7618;CG7619;CG7620,CG0001;CG0002;CG0006;CG0009;CG0015;CG0016;CG1001;CG1002;CG1003;CG1004;CG1005;CG1006;CG1007;CG1008;CG1009;CG1010;CG1011;CG1012;CG1013;CG1014;CG1015;CG1016;CG1017;CG1018;CG1019;CG1020;CG1021;CG1022;CG1023;CG1024;CG1025;CG1026;CG1027;CG1028;CG1029;CG1030;CG1031;CG1032;CG1033;CG1034;CG1035;CG7501;CG7502;CG7504;CG7600;CG7601;CG7602;CG7603;CG7605;CG7606;CG7607;CG7609;CG7610;CG7611;CG7612;CG7613;CG7615;CG7618;CG7619;CG7620,CG1029;CG1034;CG7502;CG7503;CG7506;CG7602;CG7603;CG7605;CG7610;CG7612,CG0001;CG0002;CG0006;CG0009;CG0015;CG0016;CG1001;CG1002;CG1003;CG1004;CG1005;CG1006;CG1007;CG1008;CG1009;CG1010;CG1011;CG1012;CG1013;CG1014;CG1015;CG1016;CG1017;CG1018;CG1019;CG1020;CG1021;CG1022;CG1023;CG1024;CG1025;CG1026;CG1027;CG1028;CG1029;CG1030;CG1031;CG1032;CG1033;CG1034;CG1035;CG7501;CG7502;CG7504;CG7600;CG7601;CG7602;CG7603;CG7605;CG7606;CG7607;CG7609;CG7610;CG7611;CG7612;CG7613;CG7615;CG7618;CG7619;CG7620,PREDICTIVE_GAP
EX,Expo,Elk,Extended Archery,1,1,1,1,0,0,0,0,1,0,0,0,0,,,,EX1000,,,,,PREDICTIVE_GAP
BR,Bear,Black Bear,Limited Entry - Summer,106,106,106,120,106,0,0,0,0,0,0,14,0,,,,,,,BR7008;BR7019;BR7108;BR7208;BR7209;BR7226;BR7227;BR7230;BR7231;BR7232;BR7233;BR7234;BR7235;BR7236,,RESOLVED
DA,Antlerless Deer,Deer,General Season,20,20,20,31,20,0,0,0,0,0,0,11,0,,,,,,,DA1000;DA1004;DA1007;DA1017;DA1026;DA1028;DA1029;DA1039;DA1040;DA1043;DA1044,,RESOLVED
DB,Buck Deer,Deer,General Season,345,345,345,398,345,0,0,0,0,0,0,53,0,,,,,,,DB1027;DB1036;DB1059;DB1082;DB1088;DB1089;DB1092;DB1094;DB1210;DB1223;DB1257;DB1267;DB1276;DB1278;DB1297;DB1302;DB1307;DB1320;DB1321;DB1324;DB1329;DB1338;DB1339;DB1340;DB1500;DB1505;DB1515;DB1520;DB1527;DB1528;DB1530;DB1532;DB1535;DB1545;DB1548;DB1550;DB1557;DB1558;DB1560;DB1562;DB1565;DB1575;DB1578;DB1580;DB1587;DB1588;DB1590;DB1769;DB1774;DB1784;DB1789;DB1796;DB1797,,RESOLVED
DS,Desert Bighorn Sheep,Desert Bighorn Sheep,Once-in-a-lifetime,25,25,25,27,25,0,0,0,0,0,0,2,0,,,,,,,DS6602;DS6612,,RESOLVED
EA,Antlerless Elk,Elk,General Season,220,220,220,249,220,0,0,0,0,0,0,29,0,,,,,,,EA1004;EA1008;EA1009;EA1034;EA1040;EA1052;EA1055;EA1066;EA1067;EA1068;EA1074;EA1091;EA1098;EA1099;EA1100;EA1116;EA1126;EA1155;EA1176;EA1186;EA1190;EA1194;EA1205;EA1227;EA1238;EA1241;EA1252;EA1253;EA1255,,RESOLVED
