hunt_code,hunt_name,weapon,season_dates_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,source_document,source_note
EA1287,"Box Elder, Grouse Creek",Any Legal Weapon,Nov 06 2026 - Jan 31 2027,0,0,0,27,3,30,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1288,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Dec 22 2026 - Jan 31 2027,0,0,0,36,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1289,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Nov 14 2026 - Dec 21 2026,0,0,0,36,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1290,"Manti, Ferron Lower Escarpment",Any Legal Weapon,Sept 16 2026 - Nov 13 2026,0,0,0,36,4,40,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1291,"Mt Dutton, North",Any Legal Weapon,Dec 19 2026 - Jan 10 2027,0,0,0,72,8,80,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1292,"Mt Dutton, North",Any Legal Weapon,Nov 21 2026 - Dec 06 2026,0,0,0,72,8,80,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1053,"Nine Mile, West Anthro",Any Legal Weapon,Jan 16 2027 - Jan 24 2027,0,0,0,45,5,50,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1293,"North Slope, Three Corners",Any Legal Weapon,Oct 03 2026 - Oct 16 2026,0,0,0,22,3,25,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1294,"Paunsaugunt, East Creek",Any Legal Weapon,Aug 01 2026 - Aug 12 2026,0,0,0,22,3,25,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1295,"Wasatch Mtns, Avintaquin",Muzzleloader,Oct 28 2026 - Nov 05 2026,0,0,0,90,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1007,"Wasatch Mtns, Currant Creek",Any Legal Weapon,Oct 03 2026 - Oct 15 2026,0,0,0,180,20,200,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1296,"Wasatch Mtns, Currant Creek",Muzzleloader,Oct 28 2026 - Nov 05 2026,0,0,0,90,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1297,"Wasatch Mtns, Red Creek West",Any Legal Weapon,Dec 12 2026 - Dec 20 2026,0,0,0,90,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1299,"Wasatch Mtns, West-Central",Any Legal Weapon,Nov 21 2026 - Nov 29 2026,0,0,0,45,5,50,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1300,"Wasatch Mtns, West-Central",Any Legal Weapon,Jan 23 2027 - Jan 31 2027,0,0,0,45,5,50,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
EA1298,"Wasatch Mtns, Wildcat/Timber Canyon",Any Legal Weapon,Dec 12 2026 - Dec 20 2026,0,0,0,90,10,100,2026-05-user-verified-table,User-provided antlerless elk comparison table for 2025 to 2026; 2025 permit values were shown as dashes and normalized to zero for audit use.
