file_path,file_name,extension,size_bytes,sha256,row_count,column_count,columns,data_family,source_role,engine_use,public_runtime_use,website_page_use,is_git_lfs_pointer,is_large_runtime_file,has_hunt_code,has_year,has_residency,has_points,has_species,has_permits,has_applicants,has_draw_probability,has_harvest_success,has_average_days_hunted,has_average_harvest_age,has_percent_5plus,has_management_objective,has_source_fields,data_as_of_field_present,model_version_field_present,rule_version_field_present,recommended_status,notes
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.cpg,aa7b7a.cpg,cpg,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.dbf,aa7b7a.dbf,dbf,6549,e0454837b9524930bfa0662e685a0d440512b90ef237114e3fa69a1e33ddbac6,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.prj,aa7b7a.prj,prj,427,71c125e355ef7e1cba72ea4c3efe85ed18f93b810238aea60d78d8a685f94679,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shp,aa7b7a.shp,shp,286444,ed762e71683d8317111cf3de0566389b19068371134f1a82fedbcd7b81da2012,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shx,aa7b7a.shx,shx,140,11a5b1d6f5bbcbeae09e57755492dc66feb412aea7e2f4c6f367b77ce163b220,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.cpg,a5a178.cpg,cpg,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.dbf,a5a178.dbf,dbf,17988,8e7f21445122e2544a5fcb1b25f48719627147aed93e37f8d4d64ae61d56b32b,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.prj,a5a178.prj,prj,427,71c125e355ef7e1cba72ea4c3efe85ed18f93b810238aea60d78d8a685f94679,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.shp,a5a178.shp,shp,599156,47558e32f8233a69adae967337f54e09f46ca66160fe8a49020cd26782cdc641,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.shx,a5a178.shx,shx,212,7d3472c2fdbe438f60c46e666479990985734baee670330c06563460c263cef2,,,,unknown,unknown,none,none,none,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,REVIEW_CLASSIFICATION,
