severity,issue_type,file_path,hunt_code,details,recommended_fix
HIGH,public_runtime_file_too_large_for_pages,data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,data/utah/official_downloads_2026/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/backups/current_year_allotment_overlay_20260523_071315/point_ladder_view.csv,,47928799 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/backups/permit_allocations_2026_20260510_160357/processed_data/point_ladder_view.csv,,33071892 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/hunt_master_enriched.csv,,31887607 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/point_ladder_view.csv,,60905117 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/backups/permit_allocations_2026_20260523_083028/processed_data/hunt_master_enriched.csv,,32105793 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/composite_hunt_unit_mapping_2026.geojson,,54914353 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/hunt_master_enriched_2026_draw_subset1.csv,,39276790 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/hunt_master_enriched1.csv,,46220759 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
HIGH,public_runtime_file_too_large_for_pages,processed_data/statewide_composite_boundaries_2026.geojson,,87146863 bytes,Prefer Cloudflare/R2 before Pages for this runtime file.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,DB1002,antelope island premium|antelope island,Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,DB1121,antelope island management|antelope island,Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3002,"book cliffs, little creek roadless|book cliffs little creek roadless",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3028,"book cliffs, little creek roadless|book cliffs little creek roadless",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3079,"book cliffs, little creek roadless|book cliffs little creek roadless",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3104,"book cliffs, little creek roadless|book cliffs little creek roadless",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3167,"book cliffs, little creek roadless|book cliffs little creek roadless",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3003,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3032,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3033,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3081,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3105,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3168,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3169,"cache, meadowville|cache meadowville",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3132,"cache, north|cache north",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3139,"cache, north|cache north",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3005,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3036,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3037,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3083,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3107,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3170,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3171,"cache, south|cache south",Review renamed hunts and crosswalk.
MEDIUM,same_hunt_code_conflicting_hunt_name_across_files,current feeds,EB3008,"fillmore, pahvant|fillmore pahvant",Review renamed hunts and crosswalk.
