"duplicate_file","expected_original","original_exists","duplicate_size","original_size","duplicate_sha256","original_sha256","exact_duplicate"
".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_audit (2).csv",".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_audit.csv","True","5988","5991","60099FA63DEC76E36EE32B63317AAD38E86A498C3FE31E0456CCA7344C018E12","DB3CC243FBEF6A381E82598117CC10C70096278BFC4023FDA2F50FF3D54BF854","False"
".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_open_issues (2).csv",".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_open_issues.csv","True","18592","120","14487ACBCDC39158A8E1021BF7C6B506B133DBD2366B79259C07E78049AC8693","D0415C35C401518C476A504DF0F3EAAECC22D69F85B1D961E2236D1204438A40","False"
".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_summary (2).json",".\data_truth\comparison_outputs\validation\comprehensive_2026_2025_history_integrity_summary.json","True","2053","2099","E0D9441D406989CC473BA0A087BC306F1666F3FD93D7766FBA594DF3AA9565FA","5CAE7236C8A6466B12D129D0D1DAF7D7837473FB8302F61D8E891B5951754BAD","False"
".\data_truth\draw_results_truth\extracted\2023_deer_odds_hunt_headers (2).csv",".\data_truth\draw_results_truth\extracted\2023_deer_odds_hunt_headers.csv","True","55140","55140","9A9B80EE98717BFFEB2D38779EA49458CC6BE61BD5F6B8C002D3B31AECE24784","9A9B80EE98717BFFEB2D38779EA49458CC6BE61BD5F6B8C002D3B31AECE24784","True"
".\data_truth\draw_results_truth\extracted\2023_deer_odds_text_lines (2).csv",".\data_truth\draw_results_truth\extracted\2023_deer_odds_text_lines.csv","True","1288516","1288516","31C16E91A2D3A993B36916A0642097972C19DA3B656004A7C68C6B22CE039F94","31C16E91A2D3A993B36916A0642097972C19DA3B656004A7C68C6B22CE039F94","True"
".\data_truth\draw_results_truth\extracted\2024_antlerless_draw_results_hunt_rows (2).csv",".\data_truth\draw_results_truth\extracted\2024_antlerless_draw_results_hunt_rows.csv","True","74352","74352","D4D475AD3129E69C1D110133F0830B469CC4A1A2228A31B0B7B9C148E434551F","D4D475AD3129E69C1D110133F0830B469CC4A1A2228A31B0B7B9C148E434551F","True"
".\data_truth\draw_results_truth\extracted\2024_antlerless_draw_results_text_lines (2).csv",".\data_truth\draw_results_truth\extracted\2024_antlerless_draw_results_text_lines.csv","True","1046866","1046866","D11A79DB088365F0C4763F8A8238013AEEBF51F999E5321E68D2A01C1879FA07","D11A79DB088365F0C4763F8A8238013AEEBF51F999E5321E68D2A01C1879FA07","True"
".\data_truth\draw_results_truth\normalized\black_bear_2024_draw_odds_model_target_2025_permit_totals (2).csv",".\data_truth\draw_results_truth\normalized\black_bear_2024_draw_odds_model_target_2025_permit_totals.csv","True","25822","25822","45AB865D0B5D5464922DE62D0D799081D81C85FCC46B9FF66B250A72A05E92A0","45AB865D0B5D5464922DE62D0D799081D81C85FCC46B9FF66B250A72A05E92A0","True"
".\data_truth\draw_results_truth\normalized\black_bear_2025_draw_odds_model_target_2026_permit_totals (2).csv",".\data_truth\draw_results_truth\normalized\black_bear_2025_draw_odds_model_target_2026_permit_totals.csv","True","25961","25961","FDE830C7C94EE5C7CE3C269E9AD56B30DDD4A9D14AF9C5A8F7446EAE0D29EA43","FDE830C7C94EE5C7CE3C269E9AD56B30DDD4A9D14AF9C5A8F7446EAE0D29EA43","True"
".\data_truth\draw_results_truth\normalized\draw_results_long (2).csv",".\data_truth\draw_results_truth\normalized\draw_results_long.csv","True","77791622","77791622","68B89136A5663683C1F779BB45573BC1D3EF15E91B73FABD4F1677A8F19383E1","68B89136A5663683C1F779BB45573BC1D3EF15E91B73FABD4F1677A8F19383E1","True"
".\data_truth\draw_results_truth\normalized\le_deer_2025_draw_results_model_target_2026_permit_totals (2).csv",".\data_truth\draw_results_truth\normalized\le_deer_2025_draw_results_model_target_2026_permit_totals.csv","True","77612","77648","2DBF08B27066B323CF9BCCD0450BD82C93B4876FD7F40B59F0C7E6783B29BDF5","7672994F8695EB44DE0B81985270097F78D9335F4CFC34604E6989B38E3F7B06","False"
".\data_truth\draw_results_truth\normalized\oil_2025_draw_results_model_target_2026_permit_totals (2).csv",".\data_truth\draw_results_truth\normalized\oil_2025_draw_results_model_target_2026_permit_totals.csv","True","41149","41221","A5585516114410C73CB0CEE5E56B13E6E408449CE1C3486C83F6354D9DCEB52E","4FD61756B403B42AE00425662B0D08825915C778D1468264555C840868D26AE7","False"
".\data_truth\draw_results_truth\validation\2026_antlerless_hunt_code_reconciliation (2).csv",".\data_truth\draw_results_truth\validation\2026_antlerless_hunt_code_reconciliation.csv","True","46729","46729","5BBD063B603791BC332E0921CC42489B99E42E80E606A525EE1256FC2B901FD2","5BBD063B603791BC332E0921CC42489B99E42E80E606A525EE1256FC2B901FD2","True"
".\data_truth\draw_results_truth\validation\2026_deer_hunt_code_reconciliation (2).csv",".\data_truth\draw_results_truth\validation\2026_deer_hunt_code_reconciliation.csv","True","85118","85118","B5785E4CF880E09124D362B498050D04A596E22F1E65D36DD22F7EEC9611CD35","B5785E4CF880E09124D362B498050D04A596E22F1E65D36DD22F7EEC9611CD35","True"
".\data_truth\draw_results_truth\validation\2026_elk_bull_reference_hunt_code_reconciliation (2).csv",".\data_truth\draw_results_truth\validation\2026_elk_bull_reference_hunt_code_reconciliation.csv","True","3557","3558","F7A0A3BDE031BDDA14EF0BC602943FCEFA17C58B3F1DE2FAFDDC0E4C0E0D81E9","A305D0AF1451C1DF0B33B210F0D2C77D103ECAB5B514DAC0D28F52BFA2582802","False"
".\data_truth\draw_results_truth\validation\2026_elk_private_land_hunt_code_reconciliation (2).csv",".\data_truth\draw_results_truth\validation\2026_elk_private_land_hunt_code_reconciliation.csv","True","35210","35210","52F59FCADBCAE6E3D830D95ABDEF393DE30BC862D6E971E3FAC97759CDD13C86","52F59FCADBCAE6E3D830D95ABDEF393DE30BC862D6E971E3FAC97759CDD13C86","True"
