file,sheet,header_row,first_col,last_col,last_row,table_ref,columns,data_rows,status,error
2026_ANTLERLESS_DEER_formatted.xlsx,Sheet1,3,1,14,23,A3:N23,14,20,OK,
2026_antlerless_elk_general_season.xlsx,2026_antlerless_elk_general_sea,1,1,15,113,A1:O113,15,112,OK,
2026_BISON_COW.xlsx,2026_bison_cow,3,1,16,8,A3:P8,16,5,OK,
2026_BISON_HUNTER_CHOICE.xlsx,2026_bison_hunter_choice,3,1,15,17,A3:O17,15,14,OK,
2026_BLACK_BEAR.xlsx,2026_BLACK_BEAR,3,1,14,109,A3:N109,14,106,OK,
2026_cougar.xlsx,2026_cougar,1,1,15,2,A1:O2,15,1,OK,
2026_DEER_ANTLERLESS.xlsx,2026_deer_antlerless,3,1,14,23,A3:N23,14,20,OK,
2026_deer_antlerless_cwmu.xlsx,2026_deer_antlerless_cwmu,1,1,15,5,A1:O5,15,4,OK,
2026_DEER_ARCHERY_EXTENDED.xlsx,2026_deer_archery_extended,3,1,12,4,A3:L4,12,1,OK,
2026_DEER_BUCK.xlsx,2026_deer_buck,3,1,14,462,A3:N462,14,459,OK,
2026_deer_buck_cactus.xlsx,2026_deer_buck_cactus,1,1,15,2,A1:O2,15,1,OK,
2026_deer_buck_conservation.xlsx,2026_deer_buck_conservation,1,1,15,5,A1:O5,15,4,OK,
2026_deer_buck_cwmu.xlsx,2026_deer_buck_cwmu,1,1,15,111,A1:O111,15,110,OK,
2026_deer_buck_limited_entry.xlsx,2026_deer_buck_limited_entry,1,1,15,68,A1:O68,15,67,OK,
2026_deer_buck_limited_entry_management_buck.xlsx,2026_deer_buck_limited_entry_ma,1,1,15,6,A1:O6,15,5,OK,
2026_deer_buck_limited_entry_private_lands_only.xlsx,2026_deer_buck_limited_entry_pr,1,1,15,9,A1:O9,15,8,OK,
2026_deer_buck_premium_limited_entry.xlsx,2026_deer_buck_premium_limited_,1,1,15,11,A1:O11,15,10,OK,
2026_deer_buck_statewide.xlsx,2026_deer_buck_statewide,1,1,15,2,A1:O2,15,1,OK,
2026_deer_general_season.xlsx,2026_deer_general_season,1,1,15,137,A1:O137,15,136,OK,
2026_deer_general_season_private_lands.xlsx,2026_deer_general_season_privat,1,1,17,18,A1:Q18,17,17,OK,
2026_deer_hunter_choice.xlsx,2026_deer_hunter_choice,1,1,15,2,A1:O2,15,1,OK,
2026_desert_bighorn_ram.xlsx,2026_desert_bighorn_ram,1,1,15,26,A1:O26,15,25,OK,
2026_ELK_ANTLERLESS.xlsx,2026_elk_antlerless,3,1,14,207,A3:N207,14,204,OK,
2026_elk_antlerless_conservation.xlsx,2026_elk_antlerless_conservatio,1,1,15,6,A1:O6,15,5,OK,
2026_elk_antlerless_CWMU.xlsx,2026_elk_antlerless_CWMU,1,1,15,60,A1:O60,15,59,OK,
2026_elk_antlerless_privatelandsonly.xlsx,2026_elk_antlerless_privateland,1,1,15,28,A1:O28,15,27,OK,
2026_elk_archery_extended.xlsx,2026_elk_archery_extended,1,1,15,2,A1:O2,15,1,OK,
2026_elk_bull_all 2.xlsx,2026_elk_bull_all 2,1,1,27,563,A1:AA563,27,562,OK,
2026_ELK_BULL_ALL.xlsx,2026_elk_bull_all,3,1,14,356,A3:N356,14,353,OK,
2026_elk_bull_conservation_permit.xlsx,2026_elk_bull_conservation_perm,1,1,15,3,A1:O3,15,2,OK,
2026_elk_bull_cwmu.xlsx,2026_elk_bull_cwmu,1,1,15,65,A1:O65,15,64,OK,
2026_elk_bull_general_anybull.xlsx,2026_elk_bull_general_anybull,1,1,15,6,A1:O6,15,5,OK,
2026_elk_bull_limited_entry.xlsx,2026_elk_bull_limited_entry,1,1,11,29,A1:K29,11,28,OK,
2026_elk_general_anybull_youth.xlsx,2026_elk_general_anybull_youth,1,1,15,2,A1:O2,15,1,OK,
2026_elk_general_archery.xlsx,2026_elk_general_archery,1,1,15,2,A1:O2,15,1,OK,
2026_elk_general_spikeonly.xlsx,2026_elk_general_spikeonly,1,1,15,4,A1:O4,15,3,OK,
2026_elk_limitedentry_maturebull.xlsx,2026_elk_limitedentry_maturebul,1,1,15,146,A1:O146,15,145,OK,
2026_elk_limitedentry_maturebull_privatelands.xlsx,2026_elk_limitedentry_maturebul,1,1,15,132,A1:O132,15,131,OK,
2026_elk_limitedentry_statewide.xlsx,2026_elk_limitedentry_statewide,1,1,15,2,A1:O2,15,1,OK,
2026_goat_hunter_choice .xlsx,2026_goat_hunter_choice,1,1,15,19,A1:O19,15,18,OK,
2026_GOAT_HUNTER_CHOICE.xlsx,2026_goat_hunter_choice,3,1,14,21,A3:N21,14,18,OK,
2026_MOOSE_BULL.xlsx,2026_moose_bull,3,1,14,30,A3:N30,14,27,OK,
2026_moose_cow.xlsx,2026_moose_cow,1,1,15,4,A1:O4,15,3,OK,
2026_SHEEP_DESERT_RAM.xlsx,2026_sheep_desert_ram,3,1,14,28,A3:N28,14,25,OK,
2026_SHEEP_ROCKY_MOUNTAIN_EWE.xlsx,2026_sheep_rocky_mountain_ewe,3,1,14,4,A3:N4,14,1,OK,
2026_SHEEP_ROCKY_MOUNTAIN_RAM.xlsx,2026_sheep_rocky_mountain_ram,3,1,14,28,A3:N28,14,25,OK,
2026_TURKEY_BEARDED.xlsx,2026_turkey_bearded,3,1,12,17,A3:L17,12,14,OK,
2026_TURKEY_EITHER_SEX.xlsx,2026_turkey_either_sex,3,1,12,7,A3:L7,12,4,OK,
