service_root,layer_id,layer_name,field_name,field_alias,field_type,field_length,field_nullable,field_editable
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,owner,owner,esriFieldTypeString,7,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,agency,agency,esriFieldTypeString,7,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,admin,admin,esriFieldTypeString,7,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,desig,desig,esriFieldTypeString,34,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,state_lgd,state_lgd,esriFieldTypeString,70,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,ut_lgd,ut_lgd,esriFieldTypeString,70,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,natl_lgd,natl_lgd,esriFieldTypeString,70,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,edit_date,edit_date,esriFieldTypeDate,8,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,label_federal,label_federal,esriFieldTypeString,200,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,label_state,label_state,esriFieldTypeString,200,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,gis_acres,gis_acres,esriFieldTypeDouble,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,county,county,esriFieldTypeString,100,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,tribe,tribe,esriFieldTypeString,50,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,shape,shape,esriFieldTypeGeometry,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,OBJECTID,OBJECTID,esriFieldTypeOID,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,shape_Length,shape_Length,esriFieldTypeDouble,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,0,opensgid.cadastre.land_ownership,shape_Area,shape_Area,esriFieldTypeDouble,,,
