folder,title,type,year,href
"UTAH DWR RULES & REGULATIONS","2026 Bear Cougar Furbearer Guidebook","pdf","2026","./processed_data/hard_data_exports/source_pdfs/regulations/2026/2026-bear-cougar-furbearer-guidebook.pdf"
"UTAH DWR RULES & REGULATIONS","2026 Big Game Application Guidebook","pdf","2026","./processed_data/hard_data_exports/source_pdfs/regulations/2026/2026-big-game-application-guidebook.pdf"
"UTAH DWR RULES & REGULATIONS","2026 Fishing Guidebook","pdf","2026","./processed_data/hard_data_exports/source_pdfs/regulations/2026/2026-fishing-guidebook.pdf"
"UTAH DWR RULES & REGULATIONS","2026 Turkey Guidebook","pdf","2026","./processed_data/hard_data_exports/source_pdfs/regulations/2026/2026-turkey-guidebook.pdf"
"UTAH DWR RULES & REGULATIONS","2026 Waterfowl Guidebook","pdf","2026","./processed_data/hard_data_exports/source_pdfs/regulations/2026/2026-waterfowl-guidebook.pdf"
"UTAH DWR RULES & REGULATIONS","Utah DWR 2026 Bear / Cougar Guidebook","pdf","2026","./public/hard-copy/regulations/2026/2026.regs.cougar.bear.pdf"
"UTAH DWR RULES & REGULATIONS","Utah DWR 2026 Big Game Application Guidebook","pdf","2026","./public/hard-copy/regulations/2026/2026.biggame.app.pdf"
"UTAH DWR RULES & REGULATIONS","Utah DWR 2026 Fishing Guidebook","pdf","2026","./public/hard-copy/regulations/2026/2026.regs.fishing.pdf"
"UTAH DWR RULES & REGULATIONS","Utah DWR 2026 Turkey Guidebook","pdf","2026","./public/hard-copy/regulations/2026/2026.regs.turkey.pdf"
"UTAH DWR RULES & REGULATIONS","Utah DWR 2025 Big Game Guidebook","pdf","2025-26","./public/hard-copy/regulations/2026/2025.regs.biggame.pdf"
"UTAH DWR RULES & REGULATIONS","2025-26 Upland Game Turkey Guidebook","pdf","2025","./processed_data/hard_data_exports/source_pdfs/regulations/2025-26/2025-26-upland-game-turkey-guidebook.pdf"
"HARVEST DATA","2026 03 06 2025 preliminary bg harvest","pdf","2026","./pipeline/RAW/hunt_unit_database/2026/pdf/harvest_report/2026-03-06-2025-preliminary-bg-harvest.pdf"
"HARVEST DATA","Harvest Master","csv","2026","./processed_data/harvest_master.csv"
"HARVEST DATA","Harvest Quality Features All Years By Hunt Code","csv","2026","./processed_data/harvest_quality_features_all_years_by_hunt_code.csv"
"HARVEST DATA","2025 Preliminary Big Game Harvest Report","pdf","2025","./processed_data/hard_data_exports/source_pdfs/harvest_report/2025/2025-preliminary-big-game-harvest-report.pdf"
"HARVEST DATA","24 bg report","pdf","2025","./pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/24_bg_report.pdf"
"HARVEST DATA","24 black bear report","pdf","2025","./pipeline/RAW/hunt_unit_database/2025/pdf/harvest_report/24_black_bear_report.pdf"
"HARVEST DATA","23 bg report","pdf","2024","./pipeline/RAW/hunt_unit_database/2024/pdf/harvest_report/23_bg_report.pdf"
"HARVEST DATA","23 black bear report","pdf","2024","./pipeline/RAW/hunt_unit_database/2024/pdf/harvest_report/23_black_bear_report.pdf"
"HARVEST DATA","23 black bear report","pdf","2024","./pipeline/RAW/hunt_unit_database/2024/pdf/harvest_report/26229CDE__23_black_bear_report.pdf"
"HARVEST DATA","2023","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/1f8e73af__2023.pdf"
"HARVEST DATA","2023 ALL SPECIES HARVEST DATA","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/7DDF75D1__2023 ALL SPECIES HARVEST DATA.pdf"
"HARVEST DATA","2023 antelope island","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/EF4D3BAC__2023-antelope-island.pdf"
"HARVEST DATA","2023 antlerless hr","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/A96251BE__2023_antlerless_hr.pdf"
"HARVEST DATA","2023 book cliffs south","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/8970342F__2023-book-cliffs-south.pdf"
"HARVEST DATA","2023 central mtns nebo","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/0A928B4F__2023-central-mtns-nebo.pdf"
"HARVEST DATA","2023 gs buck deer hr","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/9CC65639__2023_gs_buck_deer_hr.pdf"
"HARVEST DATA","2023 harvest data","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/4E8E024C__2023-harvest-data.pdf"
"HARVEST DATA","2023 Hunt Success","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/2023 Hunt Success.pdf"
"HARVEST DATA","2023 kaiparowits escalante","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/569943FB__2023-kaiparowits-escalante.pdf"
"HARVEST DATA","2023 la sal potash","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/72C08FAD__2023-la-sal-potash.pdf"
"HARVEST DATA","2023 le oial all","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/62EF9E74__2023_le_oial_all.pdf"
"HARVEST DATA","2023 nine mile jack creek","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/B28B99E6__2023-nine-mile-jack-creek.pdf"
"HARVEST DATA","2023 san juan lockhart","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/28E0BDDD__2023-san-juan-lockhart.pdf"
"HARVEST DATA","2023 san juan north","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/B5780E69__2023-san-juan-north.pdf"
"HARVEST DATA","2023 san juan river","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/0148BAF7__2023-san-juan-river.pdf"
"HARVEST DATA","2023 san juan south","pdf","2023","./pipeline/RAW/hunt_unit_database/2023/pdf/harvest_report/523038DA__2023-san-juan-south.pdf"
