path,size_bytes,file_type,page_dependency,is_large,is_blocking_likely,should_lazy_load,should_cloudflare_r2,should_compress,should_split,should_not_publish,recommendation
assets/backgrounds/ELK-LICENSE-PLATE-PAGE.png,304026,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/LIBRARY-WALLPAPER.jpg,2290174,image,,true,false,false,false,true,false,false,Compress or convert before public delivery.
assets/backgrounds/LIBRARY-WALLPAPER.png,945173,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/LIBRARY-WALLPAPERS.png,2858716,image,,true,false,false,false,true,false,false,Compress or convert before public delivery.
assets/backgrounds/LICENSE-PLATE-YELLOW-LETTERa.png,168423,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/tan topo.png,4144128,image,,true,false,false,false,true,false,false,Compress or convert before public delivery.
assets/backgrounds/topo-black-white-line-001.jpg,132818,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/topo-black-white-line.jpg,154015,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/topo-black-with-hills.jpg,70426,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/topo15_edited_edited.jpg,2476001,image,,true,false,false,false,true,false,false,Compress or convert before public delivery.
assets/backgrounds/White Topo 20.jpg,126701,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/backgrounds/White Topo 21.jpg,624188,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/css/hard-copy-public-library.css,15117,CSS,hard-copy.html,false,true,false,false,false,false,false,Review as likely render/load blocker.
assets/js/hard-copy-public-library.js,25169,JS,hard-copy.html,false,false,false,false,false,false,false,OK for current audit threshold.
assets/js/jsresearch-outlook-dashboard.js.txt,30500,TXT,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/js/research-outlook-dashboard.js,37587,JS,research.html,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/backgrounds/topo-black-white-line.jpg,154015,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/backgrounds/topo-black-with-hills.jpg,70426,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/backgrounds/White Topo 20.jpg,126701,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/backgrounds/White Topo 21.jpg,624188,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/blm.png,150419,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-CWMU-LOGO.png,229496,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-DWR-LOGO.PNG,41367,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-LOGO-maps.png,47165,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-LOGO-TEXT.png,26748,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-LOGO.png,41367,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-LOGO.SHIELD.png,257369,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/DWR-WMA.LOGO.png,217567,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/ELK-LICENSE-PLATE-PAGE.png,304026,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/favicon.ico.png,151252,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/google_earth_logo.png,89333,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/google-maps-logo.png,75287,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/sitla.png,27307,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/state-parks.png,142001,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/tan-topo.png,5329351,image,,true,false,false,false,true,false,false,Compress or convert before public delivery.
assets/logos/UOGA-LOGO-CIRCLE.png,82246,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/usfs.png,283629,image,,false,false,false,false,false,false,false,OK for current audit threshold.
assets/logos/WILDLIFE-LOGO.png,59204,image,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.cpg,5,CPG,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.dbf,6549,DBF,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.prj,427,PRJ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shp,286444,SHP,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026BisonOnce_in_a_Lifetime2_SHAPE/aa7b7a.shx,140,SHX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.cpg,5,CPG,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.dbf,17988,DBF,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.prj,427,PRJ,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.shp,599156,SHP,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime SHAPE/a5a178.shx,212,SHX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000001.gdbindexes,110,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000001.gdbtable,412,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000001.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
