source,hunt_code,hunt_name,species,hunt_type,draw_pool,draw_model_class,classification,algorithm_status,total_permits,youth_reserved_permits,adult_general_permits,p_preference_draw,display_odds_pct,p_draw_mean,odds_2026_projected,point_ladder_presence
predictive,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,youth,,YOUTH_DRAW_ONLY_ELK,IN_SCOPE_MODEL_PENDING,750,,,,,,,
predictive,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,youth,,YOUTH_DRAW_ONLY_ELK,IN_SCOPE_MODEL_PENDING,750,,,,,,,
ml,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,youth,,YOUTH_DRAW_ONLY_ELK,IN_SCOPE_MODEL_PENDING,750,,,,,,,
ml,EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,Elk,General Season - Any Bull,youth,,YOUTH_DRAW_ONLY_ELK,IN_SCOPE_MODEL_PENDING,750,,,,,,,
draw_system_coverage,DA1000,"Antlerless Deer - Beaver, Circleville North - Any Legal Weapon",Deer,General-season,standard,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
draw_system_coverage,DA1001,"Box Elder, West Bear River",Deer,General Season,standard,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
draw_system_coverage,DA1001,"Box Elder, West Bear River",Deer,General Season,standard,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
draw_system_coverage,DA1001,"Box Elder, West Bear River",Deer,General Season,standard,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
draw_system_coverage,DA1001,"Box Elder, West Bear River",Deer,General Season,standard,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
draw_system_coverage,DA1001,"Box Elder, West Bear River",Deer,General Season,youth,,YOUTH_ANTLERLESS_OR_DOE_RESERVE,IN_SCOPE_MODEL_PENDING,,,,,,,,
