hunt_code,comparison_bucket,in_active_database_2026,database_species,database_hunt_name,database_hunt_type,harvest_families,harvest_species,harvest_hunt_names,harvest_rows,harvest_files,harvest_permits_sum,harvest_hunters_sum,harvest_sum,harvest_success_percent_mean,harvest_average_days_mean,harvest_satisfaction_mean,draw_species,draw_hunt_names,draw_rows,draw_files,draw_permits_2023_res,draw_permits_2023_nr,draw_permits_2023_total,draw_applicants_2023_res,draw_applicants_2023_nr
BI0001,harvest_only,NO,,,,bison|other,Bison,Antelope Island,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,50.0,45.0,45.0,100,1,5,,,0,,,,,,
BI6500,both,YES,Bison,Antelope Island,Once-in-a-lifetime,bison|other,Bison,Antelope Island,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,20.0,18.0,18.0,100,1,5,Bison,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,2.0,0.0,2.0,3051.0,0.0
BI6503,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,130.0,117.0,108.0,92.3,4.2,4.5,Bison,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,10.0,1.0,11.0,5083.0,2197.0
BI6504,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,110.0,99.0,81.0,81.8,4.5,4.3,Bison,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,9.0,1.0,10.0,1589.0,872.0
BI6505,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,220.0,198.0,117.0,59.1,5.3,3.6,Bison,Bison (cow Only) - Henry Mtns - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,20.0,2.0,22.0,322.0,125.0
BI6506,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,220.0,198.0,162.0,83.3,5.4,3.9,Bison,Bison (cow Only) - Henry Mtns - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,21.0,2.0,23.0,271.0,92.0
BI6509,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,50.0,27.0,0.0,0,7,5,Bison,Bison Archery (hunter’s Choice) - Henry Mtns - Archery,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,4.0,1.0,5.0,343.0,442.0
BI6516,both,YES,Bison,Henry Mtns,Once-in-a-lifetime,bison|other,Bison,Henry Mtns,10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,100.0,81.0,63.0,77.8,5.1,4.2,Bison,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon,62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,8.0,1.0,9.0,692.0,976.0
BI6528,both,YES,Bison,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,bison|other,Bison,"Book Cliffs, Little Creek/South",10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,100.0,90.0,90.0,100,4.2,4,Bison,"Bison Archery (hunter’s Choice) - Book Cliffs, Little Creek/south - Archery",62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,9.0,1.0,10.0,122.0,278.0
BI6529,both,YES,Bison,"Book Cliffs, Little Creek/South",Once-in-a-lifetime,bison|other,Bison,"Book Cliffs, Little Creek/South",10,pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_2023_uploaded_reports.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_quality_features_by_hunt_code_all_species_2023.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_BISON_hunt_success.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_all_species_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_code_keyed_all_sources.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_hunt_success_long.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_le_oial_all.csv|pipeline\RAW\hunt_unit_database\2024\csv\Harvest Results\harvest_results_2023_uploaded_reports_all_long.csv,150.0,99.0,90.0,88.9,4.1,3.2,Bison,"Bison (cow Only) - Book Cliffs, Little Creek/south - Any Legal Weapon",62,pipeline\RAW\hunt_unit_database\2024\csv\draw_results_2023_for_2024_long.csv,13.0,2.0,15.0,118.0,90.0
