file,hunt_code,changed,before,after
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EB3128,FALSE,"{""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""season"": ""Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026"", ""sex_type"": ""Bull"", ""species"": ""Elk"", ""weapon"": ""Multiseason""}","{""hunt_name"": ""Box Elder, Grouse Creek"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""season"": ""Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026"", ""sex_type"": ""Bull"", ""species"": ""Elk"", ""weapon"": ""Multiseason""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EA1180,FALSE,"{""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}","{""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EA1270,FALSE,"{""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}","{""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EA1271,FALSE,"{""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}","{""hunt_name"": ""Manti (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EA2041,FALSE,"{""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 26, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}","{""hunt_name"": ""Cache (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 26, 2025"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EA2045,FALSE,"{""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}","{""hunt_name"": ""Wasatch Mtns (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""season"": ""Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026"", ""sex_type"": ""Antlerless"", ""species"": ""Elk"", ""weapon"": ""Any Legal Weapon""}"
pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,EB3209,FALSE,"{""hunt_name"": ""Box Elder, Pilot Mtn"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""season"": ""Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026"", ""sex_type"": ""Bull"", ""species"": ""Elk"", ""weapon"": ""Multiseason""}","{""hunt_name"": ""Box Elder, Pilot Mtn"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""TOTAL_ONLY"", ""permit_allotment_2026_total"": ""1"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": ""1"", ""season"": ""Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026"", ""sex_type"": ""Bull"", ""species"": ""Elk"", ""weapon"": ""Multiseason""}"
processed_data/hunt_master_enriched.csv,EA1180,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA1180,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""La Sal (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
processed_data/hunt_master_enriched.csv,EA1270,FALSE,"{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}","{""data_status"": ""SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED"", ""hunt_name"": ""Fishlake (Conservation)"", ""hunt_type"": ""Conservation"", ""permit_allotment_2026_status"": ""NO_QUOTA_PUBLISHED"", ""permit_allotment_2026_total"": """", ""permit_status"": ""NO_QUOTA_PUBLISHED"", ""permits_2026_nr"": """", ""permits_2026_res"": """", ""permits_2026_total"": """", ""public_permits_2026"": """", ""weapon"": ""Any Legal Weapon""}"
