"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"DA1011","George Creek CWMU","Deer","Any Legal Weapon","CWMU","George Creek","806","exact_norm_name"
"DA1012","Junction Valley CWMU","Deer","Any Legal Weapon","CWMU","Junction Valley","589","exact_norm_name"
"DA1013","Mt Carmel CWMU","Deer","Any Legal Weapon","CWMU","Mt Carmel","533","exact_norm_name"
"DA1050","The Rose of Snowville CWMU","Deer","Any Legal Weapon","CWMU","The Rose of Snowville","509","exact_norm_name"
"DB1202","Antelope Creek CWMU","Deer","Any Legal Weapon","CWMU","Antelope Creek","581","exact_norm_name"
"DB1203","Avintaquin Canyon CWMU","Deer","Any Legal Weapon","CWMU","Avintaquin Canyon","599","exact_norm_name"
"DB1204","Bally Watts CWMU","Deer","Any Legal Weapon","CWMU","Bally Watts","559","exact_norm_name"
"DB1205","Bar J Ranch CWMU","Deer","Any Legal Weapon","CWMU","Bar J Ranch","527","exact_norm_name"
"DB1206","Bear Mountain CWMU","Deer","Any Legal Weapon","CWMU","Bear Mountain","582","exact_norm_name"
"DB1207","Bear Springs CWMU","Deer","Any Legal Weapon","CWMU","Bear Springs","575","exact_norm_name"
"DB1208","Blackhawk CWMU","Deer","Any Legal Weapon","CWMU","Blackhawk","808","exact_norm_name"
"DB1211","Blue Spring Hills CWMU","Deer","Any Legal Weapon","CWMU","Blue Spring Hills","510","exact_norm_name"
"DB1212","Bluebell CWMU","Deer","Any Legal Weapon","CWMU","Bluebell","604","exact_norm_name"
"DB1213","Boobe Hole CWMU","Deer","Any Legal Weapon","CWMU","Boobe Hole","529","exact_norm_name"
"DB1215","Buckhorn Ranch CWMU","Deer","Any Legal Weapon","CWMU","Buckhorn Ranch","598","exact_norm_name"
"DB1216","Castle Valley Outdoors CWMU","Deer","Any Legal Weapon","CWMU","Castle Valley Outdoors","545","exact_norm_name"
"DB1217","Causey Spring CWMU","Deer","Any Legal Weapon","CWMU","Causey Spring","560","exact_norm_name"
"DB1219","Chimney Rock CWMU","Deer","Any Legal Weapon","CWMU","Chimney Rock","732","exact_norm_name"
"DB1222","Coldwater Ranch CWMU","Deer","Any Legal Weapon","CWMU","Coldwater Ranch","505","exact_norm_name"
