hunt_code,hunt_name,species,sex_type,weapon,hunt_type
DA1012,Junction Valley CWMU,Deer,Antlerless,Any Legal Weapon,CWMU
DA1013,Mt Carmel CWMU,Deer,Antlerless,Any Legal Weapon,CWMU
DA1050,The Rose of Snowville CWMU,Deer,Antlerless,Any Legal Weapon,CWMU
DB1200,Alton - Premium Buck CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1201,Alton - Management Buck CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1202,Antelope Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1203,Avintaquin Canyon CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1204,Bally Watts CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1206,Bear Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1207,Bear Springs CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1208,Blackhawk CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1209,Blind Springs CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1211,Blue Spring Hills CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1212,Bluebell CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1213,Boobe Hole CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1215,Buckhorn Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1216,Castle Valley Outdoors CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1219,Chimney Rock CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1222,Coldwater Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1224,Cotton Thomas CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1227,Deer Haven CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1228,Deseret CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1229,Dilly Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1230,Double R Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1232,Durst Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1233,East Fork Chalk Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1234,East Zion CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1236,Engineer Springs CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1237,Ensign Ranches CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1238,Folley Ridge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1239,Fort Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1241,Golden Spike CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1242,Grass Valley/Clark Canyon CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1243,Grazing Pasture CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1245,Guildersleeve CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1246,Hardscrabble CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1248,Heaston East CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1249,Hiawatha CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1250,Indian Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1253,Circle E Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1255,Johnson Mountain Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1256,Junction Valley CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1258,Little Red Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1259,Tunnel Hollow CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1261,Minnie Maud Ridge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1263,Moon Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1264,Mountain Meadow CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1265,Mountain Top CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1266,Mt Carmel CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1269,North Promontory CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1270,Nucor West CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1271,Oak Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1274,Patmos Ridge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1275,Pine Canyon CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1277,Pocatello Valley CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1279,Preston Nutter Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1280,Promontory Point CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1281,Rattlesnake Pass CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1282,Redd Ranches CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1285,Sand Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1286,Pisgah Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1287,Scofield Canyons CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1288,Scofield West CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1289,Sharp Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1290,Skull Crack CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1291,Skull Valley South CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1292,Soldier Summit CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1293,South Canyon CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1294,Spring Creek Acres CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1295,Spring Creek/Dodge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1298,Strawberry Ridge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1299,Summit Point CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1300,Thatcher Mountain CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1301,Three C CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1305,Wallsburg CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1306,Washakie CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1308,West Hills CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1309,West Willow Creek Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1310,White's Valley CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1312,Woodruff Creek South CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1317,Jacob's Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1322,Pahvant Ensign CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1323,Rock House CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1326,Rosette CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1327,Mountain Sky Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1328,Clear Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1330,Iron Spring CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1331,Raft River CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1332,West Ridge CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1333,5S CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1335,Big Piney Ranch CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1336,First Light CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1337,Little Pole Canyon CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1341,Dry Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1342,Faust Valley CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1347,The Rose of Snowville CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,Buck,Any Legal Weapon,CWMU
DB1351,The Dirty Dozen,Deer,Buck,Any Legal Weapon,CWMU
EA1118,Alton CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1121,Boobe Hole CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1124,Chimney Rock CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1125,Coldwater Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1131,Durst Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1132,East Fork Chalk Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1135,Folley Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1136,Grass Valley/Clark Canyon CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1137,Grazing Pasture CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1138,Guildersleeve CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1140,Heaston East CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1141,Hiawatha CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1143,Circle E Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1145,Johnson Mountain Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1146,Jump Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1147,Little Red Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1151,Moon Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1156,Preston Nutter Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1157,Redd Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1158,Cactus Ranch LLC CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1160,Sand Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1161,Scofield Canyons CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1162,Scofield East CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1163,Scofield West CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1164,SJ Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1165,Skull Crack CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1166,Soldier Summit CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1167,South Canyon CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1168,Spring Creek/Dodge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1170,Strawberry Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1171,Summit Point CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1172,Three C CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1175,Wallsburg CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1177,Woodruff Creek South CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1192,Pahvant Ensign CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1200,Double R Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1201,Mountain Sky Ranch CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1233,Avintaquin Canyon CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1234,Royal Ivory Outfitters CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1235,Sharp Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1256,Little Pole Canyon CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1257,Tunnel Hollow CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1259,Diamond Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1260,West Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1261,Blackhawk CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EA1263,Weber Florence Creek/Stillman Creek CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
EB3500,Alton CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3502,Bear Mountain CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3503,Bear Springs CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3504,Blackhawk CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3505,Boobe Hole CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3508,Chimney Rock CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3509,Coldwater Ranch CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3511,Cotton Thomas CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3514,Deseret CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3516,Durst Mountain CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3517,East Fork Chalk Creek CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3519,Ensign Ranches CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3520,Folley Ridge CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3521,Grass Valley/Clark Canyon CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3522,Grazing Pasture CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3523,Guildersleeve CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3524,Hardscrabble CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3525,Heaston East CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3526,Hiawatha CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3529,Circle E Ranch CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3530,Jacob's Creek CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3531,Johnson Mountain Ranch CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3532,Jump Creek CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3533,Junction Valley CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3534,Little Red Creek CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3536,Minnie Maud Ridge CWMU,Elk,Bull,Any Legal Weapon,CWMU
EB3538,Moon Ranch CWMU,Elk,Bull,Any Legal Weapon,CWMU
