"hunt_code","hunt_name","boundary_id","geo_boundary_name","normalized_hunt","normalized_geo","match_status"
"DB1200","Alton - Premium Buck CWMU","526","Alton","alton","string type feature properties geometry properties boundary name","MISMATCH"
"DB1201","Alton - Management Buck CWMU","526","Alton","alton","string type feature properties geometry properties boundary name","MISMATCH"
"DB1209","Blind Springs CWMU","500","Blind Spring","blind spring","string type feature properties geometry properties boundary name","MISMATCH"
"DB1330","Iron Spring CWMU","876","Iron Springs","iron spring","string type feature properties geometry properties boundary name","MISMATCH"
"DB1333","5S CWMU","878","5S Land and Livestock","5s","string type feature properties geometry properties boundary name","MISMATCH"
"DB1334","Alton - Cactus Buck CWMU","526","Alton","alton","string type feature properties geometry properties boundary name","MISMATCH"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","weber florence creek stillman creek","string type feature properties geometry properties boundary name","MISMATCH"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","weber florence creek stillman creek","string type feature properties geometry properties boundary name","MISMATCH"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","weber florence creek stillman creek","string type feature properties geometry properties boundary name","MISMATCH"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","524","Weber Florence Creek","weber florence creek stillman creek","string type feature properties geometry properties boundary name","MISMATCH"
"PB5339","Iron Spring CWMU","876","Iron Springs","iron spring","string type feature properties geometry properties boundary name","MISMATCH"
