"hunt_code","hunt_name","species","matched_boundary_name","matched_boundary_id","rule"
"DB1200","Alton - Premium Buck CWMU","Deer","Alton","526","normalized_alias"
"DB1201","Alton - Management Buck CWMU","Deer","Alton","526","normalized_alias"
"DB1209","Blind Springs CWMU","Deer","Blind Spring","500","loose_contains"
"DB1330","Iron Spring CWMU","Deer","Iron Springs","876","loose_contains"
"DB1333","5S CWMU","Deer","5S Land and Livestock","878","loose_contains"
"DB1334","Alton - Cactus Buck CWMU","Deer","Alton","526","normalized_alias"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","Deer","Weber Florence Creek","524","loose_contains"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","Elk","Weber Florence Creek","524","loose_contains"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","Elk","Weber Florence Creek","524","loose_contains"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","Moose","Weber Florence Creek","524","loose_contains"
"PB5339","Iron Spring CWMU","Pronghorn","Iron Springs","876","loose_contains"
