hunt_code,hunt_name,species,boundary_id,row_origin,database_numeric_protected,target_database_status,target_2025_total,database_2025_total,target_2026_total,database_2026_total,database_allotment_2026_total,resolved_2026_res,resolved_2026_nr,resolved_2026_total,resolved_2026_source,overlay_action,review_priority,review_reason
BI6527,Nine Mile,Bison,615,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
BI6538,"Nine Mile, Private Lands Only",Bison,615,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
BI6505,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,29,28,11,11,11,8,3,11,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6506,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,30,30,11,11,11,11,0,11,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6529,"Book Cliffs, Little Creek/South",Bison,889,TARGET_AND_DATABASE,YES,MATCH,8,8,8,8,8,8,0,8,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6536,"Book Cliffs, Bitter Creek",Bison,667,TARGET_AND_DATABASE,YES,MATCH,3,2,15,15,15,15,0,15,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6539,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,,,11,11,11,11,0,11,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6500,Antelope Island,Bison,1,TARGET_AND_DATABASE,YES,MATCH,2,2,2,2,2,2,0,2,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6503,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,7,6,6,6,6,4,2,6,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6504,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,7,7,7,7,7,5,2,7,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6516,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,5,5,6,6,6,6,0,6,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6531,"Book Cliffs, Little Creek/South",Bison,889,TARGET_AND_DATABASE,YES,MATCH,8,7,10,10,10,10,0,10,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6534,"Book Cliffs, Bitter Creek",Bison,667,TARGET_AND_DATABASE,YES,MATCH,5,5,10,10,10,10,0,10,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6535,"Book Cliffs, Bitter Creek",Bison,667,TARGET_AND_DATABASE,YES,MATCH,5,5,8,8,8,8,0,8,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6537,"Book Cliffs, Little Creek/South",Bison,889,TARGET_AND_DATABASE,YES,MATCH,10,10,15,15,15,8,7,15,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6509,Henry Mtns,Bison,94,TARGET_AND_DATABASE,YES,MATCH,4,4,5,5,5,5,0,5,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6528,"Book Cliffs, Little Creek/South",Bison,889,TARGET_AND_DATABASE,YES,MATCH,5,5,5,5,5,5,0,5,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI6532,"Book Cliffs, Bitter Creek",Bison,667,TARGET_AND_DATABASE,YES,MATCH,5,5,5,5,5,5,0,5,DATABASE.permits_2026,NO_ACTION_DATABASE_MATCH,NONE,Target 2026 permits agree with populated DATABASE.csv permits.
BI1000,Bison - Statewide Permit,Bison,5000,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
BR1007,Black Bear Pursuit - Resident,Black Bear,5003,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
BR1000,Black Bear - Statewide Permit,Black Bear,5001,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
CG9999,Cougar - Statewide,Cougar,5107,TARGET_AND_DATABASE,NO,BOTH_BLANK,,,,,,,,,,NO_NUMERIC_PERMIT_DATA,NONE,Neither target nor DATABASE.csv has populated 2026 permit/allotment values.
DA1011,George Creek CWMU,Deer,806,TARGET_AND_DATABASE,YES,MISMATCH,4,5,0,5,,5,0,5,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DA1012,Junction Valley CWMU,Deer,589,TARGET_AND_DATABASE,YES,MISMATCH,12,15,0,15,,15,0,15,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
