hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total
Alton CWMU,EB3500,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Bar J Ranch CWMU,EB3501,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Bear Mountain CWMU,EB3502,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Bear Springs CWMU,EB3503,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Blackhawk CWMU,EB3504,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Boobe Hole CWMU,EB3505,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Causey Spring CWMU,EB3506,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Chimney Rock CWMU,EB3508,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Coldwater Ranch CWMU,EB3509,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 3,,
,,,,,,,NonRes: 0,,
Cotton Thomas CWMU,EB3511,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Deseret CWMU,EB3514,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 19,,
,,,,,,,NonRes: 0,,
Double Cone CWMU,EB3515,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Durst Mountain CWMU,EB3516,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 3,,
,,,,,,,NonRes: 0,,
East Fork Chalk Creek CWMU,EB3517,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 3,,
,,,,,,,NonRes: 0,,
Ensign Ranches CWMU,EB3519,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 6,,
,,,,,,,NonRes: 0,,
Folley Ridge CWMU,EB3520,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Grass Valley/Clark Canyon CWMU,EB3521,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 10,,
,,,,,,,NonRes: 0,,
Grazing Pasture CWMU,EB3522,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
Guildersleeve CWMU,EB3523,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Hardscrabble CWMU,EB3524,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Heaston East CWMU,EB3525,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Hiawatha CWMU,EB3526,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Indian Head CWMU,EB3527,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 2,,
,,,,,,,NonRes: 0,,
Ingham Peak CWMU,EB3528,Bull,Elk,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,Res: 1,,
,,,,,,,NonRes: 0,,
