reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_issued,harvest_male,harvest_female,harvest_unknown,harvest_total,percent_permits_filled,percent_female,percent_adult_male,mean_age,depredation_male,depredation_female,depredation_unknown,total_harvest_mortality,raw_line,source_sha256
2001,2002,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,214,41,25,2,68,32,37,,6.9,39,21,1,129,2001 214 41 25 2 68 32 37 — 6.9 39 21 1 129,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2002,2003,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,232,53,27,3,83,36,33,,6.8,43,27,8,161,2002 232 53 27 3 83 36 33 — 6.8 43 27 8 161,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2003,2004,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,226,59,27,0,86,38,31,,7.4,22,8,3,119,2003 226 59 27 0 86 38 31 — 7.4 22 8 3 119,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2004,2005,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,240,83,22,0,105,44,21,,6.6,34,23,4,166,2004 240 83 22 0 105 44 21 — 6.6 34 23 4 166,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2005,2006,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,252,61,19,0,80,32,24,,6.6,16,17,4,117,2005 252 61 19 0 80 32 24 — 6.6 16 17 4 117,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2006,2007,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,242,58,28,0,86,36,33,,6.6,20,16,7,129,2006 242 58 28 0 86 36 33 — 6.6 20 16 7 129,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2007,2008,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,262,91,36,0,127,48,28,,5.8,48,24,8,207,2007 262 91 36 0 127 48 28 — 5.8 48 24 8 207,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2008,2009,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,318,96,41,2,139,44,29,,6.3,18,8,7,172,2008 318 96 41 2 139 44 29 — 6.3 18 8 7 172,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2009,2010,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,338,104,46,0,150,44,31,,6.4,39,22,2,213,2009 338 104 46 0 150 44 31 — 6.4 39 22 2 213,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2010,2011,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,372,110,55,0,165,44,33,,6.0,36,20,2,223,2010 372 110 55 0 165 44 33 — 6.0 36 20 2 223,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2011,2012,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,444,132,42,0,174,39,24,41.0,5.5,30,20,0,224,2011 444 132 42 0 174 39 24 41 5.5 30 20 0 224,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2012,2013,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,558,151,84,0,235,42,36,32.0,5.8,33,19,2,289,2012 558 151 84 0 235 42 36 32 5.8 33 19 2 289,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2013,2014,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,570,165,77,0,242,42,32,34.0,6.0,30,16,0,288,2013 570 165 77 0 242 42 32 34 6.0 30 16 0 288,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2014,2015,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,570,198,85,0,283,50,30,32.0,5.3,57,36,2,378,2014 570 198 85 0 283 50 30 32 5.3 57 36 2 378,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2015,2016,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,692,211,118,0,329,48,36,29.0,5.3,29,16,2,376,2015 692 211 118 0 329 48 36 29 5.3 29 16 2 376,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2016,2017,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,712,219,95,0,314,44,30,36.0,5.5,32,24,2,372,2016 712 219 95 0 314 44 30 36 5.5 32 24 2 372,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
